#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718880.1         -            392 10051at5820          -            291  6.7e-134  444.4  23.2   1   2     0.052        48    1.8   0.0     1    18    16    33    16    35 0.91 | transcript=PVPAM_050027200_t1 | gene=PVPAM_050027200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=CASCJQ010000005:936110-937473(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718880.1         -            392 10051at5820          -            291  6.7e-134  444.4  23.2   2   2  4.1e-136  3.8e-133  441.9  20.1    16   291    99   392    97   392 0.94 | transcript=PVPAM_050027200_t1 | gene=PVPAM_050027200 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin, putative | transcript_product=ubiquitin, putative | location=CASCJQ010000005:936110-937473(+) | protein_length=392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 10051at5820          -            291   7.6e-22   76.6   6.1   1   4   2.3e-07   0.00021   19.4   0.1    33    89    11    69     3    74 0.83 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 10051at5820          -            291   7.6e-22   76.6   6.1   2   4   2.4e-07   0.00022   19.3   0.1    33    89    87   145    77   153 0.83 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 10051at5820          -            291   7.6e-22   76.6   6.1   3   4   2.4e-07   0.00022   19.3   0.1    33    89   163   221   152   227 0.82 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 10051at5820          -            291   7.6e-22   76.6   6.1   4   4   2.5e-07   0.00024   19.2   0.1    33    89   239   297   229   302 0.82 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721198.1         -            128 10051at5820          -            291   1.8e-07   29.5   0.0   1   1   2.2e-10     2e-07   29.3   0.0    33   101    11    82     3   102 0.78 | transcript=PVPAM_110010000_t1 | gene=PVPAM_110010000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=CASCJQ010000011:198390-199196(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723107.1         -            149 10051at5820          -            291   2.4e-05   22.5   2.1   1   1   4.2e-08   3.9e-05   21.8   2.0    40    79    18    57     6   109 0.78 | transcript=PVPAM_130061300_t1 | gene=PVPAM_130061300 | organism=Plasmodium_vivax_PAM | gene_product=ribosomal protein S27a, putative | transcript_product=ribosomal protein S27a, putative | location=CASCJQ010000013:2478409-2479959(+) | protein_length=149 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723296.1         -             76 10051at5820          -            291    0.0035   15.4   0.1   1   1   3.8e-06    0.0035   15.4   0.1    38    88    16    68     6    74 0.81 | transcript=PVPAM_140021500_t1 | gene=PVPAM_140021500 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-like protein Nedd8, putative | transcript_product=ubiquitin-like protein Nedd8, putative | location=CASCJQ010000014:732237-732754(-) | protein_length=76 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 10051at5820          -            291     0.011   13.7   0.0   1   1   1.9e-05     0.017   13.1   0.0    33    75    13    55     7    76 0.84 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720017.1         -            406 10051at5820          -            291     0.024   12.6   1.2   1   1   4.1e-05     0.038   12.0   1.2    37    90    15    69     6    89 0.83 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
