#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   1  12  5.3e-142  3.5e-138  460.7  15.5     1   241     1   245     1   250 0.96 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   2  12   3.1e-42     2e-38  130.3   4.4   229   317   278   374   275   382 0.90 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   3  12   3.5e-10   2.3e-06   24.2   7.4   294   350   403   457   400   461 0.81 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   4  12   1.4e-05     0.092    8.9   0.0   348   381   519   558   514   588 0.78 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   5  12   9.3e-19     6e-15   52.6   0.7   379   430   609   663   596   667 0.88 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   6  12   4.2e-24   2.7e-20   70.3   7.0   424   471   713   760   704   777 0.90 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   7  12   5.1e-30   3.3e-26   89.9   1.1   470   529   808   867   804   870 0.96 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   8  12     6e-74   3.9e-70  235.4  17.6   522   647  1070  1195  1062  1239 0.86 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2   9  12   0.00034       2.2    4.4   0.7   633   661  1233  1259  1207  1271 0.70 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2  10  12  1.8e-114  1.1e-110  369.6   6.4   675   888  1370  1600  1356  1608 0.93 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2  11  12   4.9e-63   3.1e-59  199.2  25.9   882  1039  1786  1966  1773  1993 0.85 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722879.1         -           2093 1013at5820           -           1120         0 1723.1 160.2  12  12   7.3e-43   4.7e-39  132.4   0.4  1026  1120  1995  2093  1973  2093 0.91 | transcript=PVPAM_130038100_t1 | gene=PVPAM_130038100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:1478244-1484756(-) | protein_length=2093 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1013at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
