#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723803.1         -            261 10956at5820          -            236  2.7e-137  454.4  16.1   1   1  4.6e-140  3.3e-137  454.1  16.1     5   236    20   257    13   257 0.97 | transcript=PVPAM_140072600_t1 | gene=PVPAM_140072600 | organism=Plasmodium_vivax_PAM | gene_product=signal recognition particle receptor subunit beta, putative | transcript_product=signal recognition particle receptor subunit beta, putative | location=CASCJQ010000014:2867218-2868732(+) | protein_length=261 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719302.1         -            178 10956at5820          -            236   1.2e-13   49.7   0.0   1   1   2.1e-16   1.5e-13   49.4   0.0    46   176    15   144     2   158 0.81 | transcript=PVPAM_060030900_t1 | gene=PVPAM_060030900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000006:1057886-1058422(+) | protein_length=178 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719162.1         -            181 10956at5820          -            236   3.1e-13   48.3   0.0   1   1   5.4e-16   3.9e-13   48.0   0.0    44   175    14   143     2   151 0.82 | transcript=PVPAM_060016900_t1 | gene=PVPAM_060016900 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor 1, putative | transcript_product=ADP-ribosylation factor 1, putative | location=CASCJQ010000006:496902-498230(-) | protein_length=181 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718946.1         -            191 10956at5820          -            236   8.9e-11   40.3   0.0   1   1   1.4e-13     1e-10   40.1   0.0    45   171    18   142     1   161 0.83 | transcript=PVPAM_050033800_t1 | gene=PVPAM_050033800 | organism=Plasmodium_vivax_PAM | gene_product=small GTP-binding protein sar1, putative | transcript_product=small GTP-binding protein sar1, putative | location=CASCJQ010000005:1177280-1178271(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722466.1         -            185 10956at5820          -            236   9.2e-09   33.7   2.9   1   1   1.5e-11   1.1e-08   33.5   2.9    36   188     3   148     1   167 0.78 | transcript=PVPAM_120070300_t1 | gene=PVPAM_120070300 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000012:2691630-2692449(+) | protein_length=185 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723329.1         -            207 10956at5820          -            236   6.3e-08   31.0   1.5   1   1   1.2e-10   8.5e-08   30.5   1.5    47   168    15   146     9   170 0.81 | transcript=PVPAM_140024800_t1 | gene=PVPAM_140024800 | organism=Plasmodium_vivax_PAM | gene_product=ADP-ribosylation factor, putative | transcript_product=ADP-ribosylation factor, putative | location=CASCJQ010000014:866786-867932(+) | protein_length=207 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718754.1         -           1164 10956at5820          -            236   6.8e-06   24.3   0.6   1   1   3.1e-08   2.2e-05   22.7   0.6    44   165   587   706   576   724 0.75 | transcript=PVPAM_050014800_t1 | gene=PVPAM_050014800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000005:449467-452961(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723290.1         -           1066 10956at5820          -            236   0.00015   19.9   0.4   1   1   4.6e-07   0.00033   18.8   0.4    42   203   200   354   196   365 0.77 | transcript=PVPAM_140020900_t1 | gene=PVPAM_140020900 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000014:701480-704680(+) | protein_length=1066 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722376.1         -            784 10956at5820          -            236   0.00051   18.2   1.3   1   1   1.4e-06     0.001   17.2   1.3    35   129     4   115     1   123 0.68 | transcript=PVPAM_120061200_t1 | gene=PVPAM_120061200 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2287697-2290051(+) | protein_length=784 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10956at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10956at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10956at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:27:58 2026
# [ok]
