#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719506.1         -            839 7115at5820           -            359  2.1e-172  571.6  78.4   1   5    5e-133  3.2e-130  432.8  21.2     1   220     3   252     3   267 0.91 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7115at5820           -            359  2.1e-172  571.6  78.4   2   5   1.1e-20   6.8e-18   63.3   4.2   200   284   343   427   332   438 0.76 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7115at5820           -            359  2.1e-172  571.6  78.4   3   5     0.014       8.9    3.7   9.3   266   303   472   514   449   536 0.69 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7115at5820           -            359  2.1e-172  571.6  78.4   4   5       4.9   3.2e+03   -4.7   3.7   230   245   595   610   559   666 0.44 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719506.1         -            839 7115at5820           -            359  2.1e-172  571.6  78.4   5   5   8.2e-32   5.3e-29   99.9   7.6   265   359   746   839   676   839 0.83 | transcript=PVPAM_070012000_t1 | gene=PVPAM_070012000 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:395318-397837(-) | protein_length=839 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7115at5820           -            359     5e-36  123.0  13.2   1   6   7.8e-39     5e-36  123.0  13.2    20   269    12   270     1   296 0.66 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7115at5820           -            359     5e-36  123.0  13.2   2   6        10   6.5e+03   -8.2   8.6   191   262   330   365   280   411 0.35 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7115at5820           -            359     5e-36  123.0  13.2   3   6       1.8   1.1e+03   -3.2   3.6   260   300   486   526   433   566 0.64 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7115at5820           -            359     5e-36  123.0  13.2   4   6       5.3   3.5e+03   -4.8   8.9   244   295   620   673   615   700 0.47 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7115at5820           -            359     5e-36  123.0  13.2   5   6      0.64   4.2e+02   -1.8   8.1   194   279   733   823   702   833 0.62 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 7115at5820           -            359     5e-36  123.0  13.2   6   6       2.9   1.9e+03   -3.9   0.8   203   242   929   964   922   974 0.58 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 7115at5820           -            359   5.1e-24   83.5   8.8   1   4   7.9e-27   5.1e-24   83.5   8.8    35   139     8   114     3   127 0.95 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 7115at5820           -            359   5.1e-24   83.5   8.8   2   4        10   6.5e+03   -6.7  10.0   204   287   274   355   233   380 0.55 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 7115at5820           -            359   5.1e-24   83.5   8.8   3   4       1.5   9.7e+02   -3.0   4.4   232   282   508   555   474   618 0.65 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 7115at5820           -            359   5.1e-24   83.5   8.8   4   4       5.8   3.7e+03   -4.9   2.7   192   192   831   831   756   944 0.47 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720631.1         -           2163 7115at5820           -            359   2.4e-23   81.3  11.1   1   4       9.7   6.3e+03   -5.6   2.4   258   312   276   329   214   336 0.49 | transcript=PVPAM_090039500_t1 | gene=PVPAM_090039500 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000009:1523504-1529995(-) | protein_length=2163 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
