#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722196.1         -            743 3797at5820           -            571  4.4e-269  892.9  34.1   1   1  1.5e-271    2e-268  890.8  34.1     1   571     1   743     1   743 0.94 | transcript=PVPAM_120043400_t1 | gene=PVPAM_120043400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000012:1506059-1508290(-) | protein_length=743 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718853.1         -            521 3797at5820           -            571   1.1e-60  204.9  23.3   1   2     8e-34     1e-30  105.9   1.3     3    67     3    67     1    78 0.92 | transcript=PVPAM_050024700_t1 | gene=PVPAM_050024700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000005:851351-853101(-) | protein_length=521 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718853.1         -            521 3797at5820           -            571   1.1e-60  204.9  23.3   2   2   3.5e-33   4.5e-30  103.8  14.7    77   165   113   201    93   454 0.73 | transcript=PVPAM_050024700_t1 | gene=PVPAM_050024700 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000005:851351-853101(-) | protein_length=521 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 3797at5820           -            571   5.9e-07   27.5   2.3   1   2   1.9e-09   2.4e-06   25.5   0.7    78   131    19    72    13    77 0.93 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719146.1         -           1493 3797at5820           -            571   5.9e-07   27.5   2.3   2   2      0.06        78    0.7   0.0    79    94    86   101    83   112 0.87 | transcript=PVPAM_060015300_t1 | gene=PVPAM_060015300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000006:428110-433169(-) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 3797at5820           -            571   0.00065   17.5   3.3   1   2     5e-07   0.00065   17.5   3.3    77   131    14    69    10    78 0.92 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719714.1         -           1239 3797at5820           -            571   0.00065   17.5   3.3   2   2       1.6   2.1e+03   -4.0   1.8   236   239   390   393   328   468 0.40 | transcript=PVPAM_070032800_t1 | gene=PVPAM_070032800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000007:1204141-1208889(+) | protein_length=1239 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 3797at5820           -            571    0.0022   15.7   0.7   1   5   1.7e-06    0.0022   15.7   0.7    78   131    43    97    31   100 0.90 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 3797at5820           -            571    0.0022   15.7   0.7   2   5         5   6.5e+03   -9.5  45.1    83   316    83   343    78   353 0.52 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 3797at5820           -            571    0.0022   15.7   0.7   3   5         5   6.5e+03   -9.7  27.8   188   347   366   529   345   563 0.70 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720884.1         -            986 3797at5820           -            571    0.0022   15.7   0.7   4   5         5   6.5e+03  -16.0  39.0   181   369   630   817   607   898 0.50 | transcript=PVPAM_100015200_t1 | gene=PVPAM_100015200 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000010:446340-449300(-) | protein_length=986 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
