#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719621.1         -            652 3789at5820           -            599         0 1331.6  21.7   1   1         0         0 1331.4  21.7     1   599    33   652    33   652 0.98 | transcript=PVPAM_070023500_t1 | gene=PVPAM_070023500 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000007:826010-828426(+) | protein_length=652 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718835.1         -            690 3789at5820           -            599  1.1e-231  768.9   8.3   1   1    1e-234  1.3e-231  768.6   8.3     1   591    20   628    20   632 0.94 | transcript=PVPAM_050022900_t1 | gene=PVPAM_050022900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000005:771409-773481(-) | protein_length=690 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720625.1         -            663 3789at5820           -            599  1.2e-182  606.9  17.4   1   1  1.2e-185  1.5e-182  606.6  17.4     1   587    46   637    46   647 0.92 | transcript=PVPAM_090038900_t1 | gene=PVPAM_090038900 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone BiP, putative | transcript_product=endoplasmic reticulum chaperone BiP, putative | location=CASCJQ010000009:1492217-1494208(+) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3789at5820           -            599   1.4e-28   98.1   7.3   1   3   1.8e-23   2.3e-20   71.0   3.7     1   233     6   250     6   264 0.83 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3789at5820           -            599   1.4e-28   98.1   7.3   2   3   2.2e-13   2.9e-10   37.6   0.1   235   366   281   412   273   421 0.88 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717706.1         -            887 3789at5820           -            599   1.4e-28   98.1   7.3   3   3         5   6.5e+03  -14.8  18.0   497   564   810   877   793   887 0.57 | transcript=PVPAM_010022000_t1 | gene=PVPAM_010022000 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=CASCJQ010000001:794746-797409(+) | protein_length=887 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721918.1         -            928 3789at5820           -            599     1e-26   92.0  25.6   1   3    0.0013       1.7    5.4   0.0     1    63    29    92    29   114 0.82 | transcript=PVPAM_120015200_t1 | gene=PVPAM_120015200 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=CASCJQ010000012:425811-428597(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721918.1         -            928 3789at5820           -            599     1e-26   92.0  25.6   2   3   1.3e-29   1.6e-26   91.3   9.7    97   391   159   473   138   634 0.76 | transcript=PVPAM_120015200_t1 | gene=PVPAM_120015200 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=CASCJQ010000012:425811-428597(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721918.1         -            928 3789at5820           -            599     1e-26   92.0  25.6   3   3     0.019        24    1.6   5.0   493   582   648   744   631   749 0.75 | transcript=PVPAM_120015200_t1 | gene=PVPAM_120015200 | organism=Plasmodium_vivax_PAM | gene_product=endoplasmic reticulum chaperone GRP170, putative | transcript_product=endoplasmic reticulum chaperone GRP170, putative | location=CASCJQ010000012:425811-428597(-) | protein_length=928 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3789at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3789at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3789at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:43 2026
# [ok]
