#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723659.1         -            539 6844at5820           -            398  9.1e-201  665.5  10.4   1   3     2e-65   4.2e-62  208.9   2.9     5   122    32   149    30   151 0.98 | transcript=PVPAM_140058300_t1 | gene=PVPAM_140058300 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000014:2312275-2314101(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723659.1         -            539 6844at5820           -            398  9.1e-201  665.5  10.4   2   3   2.9e-91   6.2e-88  294.0   2.2   121   290   198   367   195   370 0.95 | transcript=PVPAM_140058300_t1 | gene=PVPAM_140058300 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000014:2312275-2314101(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723659.1         -            539 6844at5820           -            398  9.1e-201  665.5  10.4   3   3   6.6e-52   1.4e-48  164.4   0.0   264   398   394   539   387   539 0.92 | transcript=PVPAM_140058300_t1 | gene=PVPAM_140058300 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000014:2312275-2314101(-) | protein_length=539 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 6844at5820           -            398     4e-18   64.1  21.2   1   5   8.5e-05      0.18    9.3   3.7    27    99    11    79     6   107 0.78 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 6844at5820           -            398     4e-18   64.1  21.2   2   5   1.9e-09     4e-06   24.6   0.4   109   197   123   209   101   214 0.79 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 6844at5820           -            398     4e-18   64.1  21.2   3   5   0.00055       1.2    6.6   0.0   206   231   247   272   232   280 0.82 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 6844at5820           -            398     4e-18   64.1  21.2   4   5   0.00014      0.31    8.5   0.1   234   255   359   380   330   391 0.73 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721596.1         -            495 6844at5820           -            398     4e-18   64.1  21.2   5   5   2.7e-09   5.8e-06   24.1   1.4   293   398   396   495   384   495 0.86 | transcript=PVPAM_110050000_t1 | gene=PVPAM_110050000 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase, putative | transcript_product=phenylalanine--tRNA ligase, putative | location=CASCJQ010000011:1881620-1883107(-) | protein_length=495 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717896.1         -            569 6844at5820           -            398   1.4e-10   39.3   0.9   1   3      0.24   5.1e+02   -2.1   0.7    57    57   279   279   234   358 0.57 | transcript=PVPAM_020012800_t1 | gene=PVPAM_020012800 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=CASCJQ010000002:357262-358971(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717896.1         -            569 6844at5820           -            398   1.4e-10   39.3   0.9   2   3      0.14   3.1e+02   -1.4   0.0   296   342   373   419   364   429 0.76 | transcript=PVPAM_020012800_t1 | gene=PVPAM_020012800 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=CASCJQ010000002:357262-358971(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717896.1         -            569 6844at5820           -            398   1.4e-10   39.3   0.9   3   3   2.3e-13     5e-10   37.5   0.0   112   260   422   566   399   569 0.80 | transcript=PVPAM_020012800_t1 | gene=PVPAM_020012800 | organism=Plasmodium_vivax_PAM | gene_product=phenylalanine--tRNA ligase alpha subunit, putative | transcript_product=phenylalanine--tRNA ligase alpha subunit, putative | location=CASCJQ010000002:357262-358971(-) | protein_length=569 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/6844at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
