#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723288.1         -            297 9476at5820           -            246  5.5e-126  417.6  26.7   1   1  5.4e-129    7e-126  417.3  26.7     1   246    33   297    33   297 0.95 | transcript=PVPAM_140020700_t1 | gene=PVPAM_140020700 | organism=Plasmodium_vivax_PAM | gene_product=Heptatricopeptide repeat-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4B7] | transcript_product=Heptatricopeptide repeat-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1G4H4B7] | location=CASCJQ010000014:698376-699681(+) | protein_length=297 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 9476at5820           -            246   9.3e-08   30.4  40.7   1   5      0.13   1.6e+02    0.2   0.1    97   128    81   112    58   117 0.78 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 9476at5820           -            246   9.3e-08   30.4  40.7   2   5   6.9e-07   0.00089   17.4   1.2    38   125    96   183    72   189 0.83 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 9476at5820           -            246   9.3e-08   30.4  40.7   3   5   0.00013      0.17    9.9   2.0    62   115   194   247   186   250 0.90 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 9476at5820           -            246   9.3e-08   30.4  40.7   4   5    0.0057       7.4    4.6   5.8    32   138   241   349   237   359 0.76 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 9476at5820           -            246   9.3e-08   30.4  40.7   5   5   6.1e-05     0.079   11.0  10.6   101   211   377   494   364   505 0.76 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 9476at5820           -            246   2.9e-06   25.6   8.5   1   2   2.9e-06    0.0038   15.3   0.8    59   139   399   481   397   499 0.89 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723603.1         -           1230 9476at5820           -            246   2.9e-06   25.6   8.5   2   2   1.4e-05     0.019   13.1   1.3    28   128   638   737   611   766 0.85 | transcript=PVPAM_140052700_t1 | gene=PVPAM_140052700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat and RAP domain-containing protein, putative | transcript_product=heptatricopeptide repeat and RAP domain-containing protein, putative | location=CASCJQ010000014:2053095-2056787(+) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720124.1         -            634 9476at5820           -            246    0.0019   16.3   5.7   1   3     0.011        14    3.6   0.1    60   126   177   243   163   252 0.91 | transcript=PVPAM_080034600_t1 | gene=PVPAM_080034600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000008:1339529-1341630(-) | protein_length=634 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720124.1         -            634 9476at5820           -            246    0.0019   16.3   5.7   2   3   9.7e-06     0.013   13.6   0.4    54   149   349   444   308   462 0.79 | transcript=PVPAM_080034600_t1 | gene=PVPAM_080034600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000008:1339529-1341630(-) | protein_length=634 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720124.1         -            634 9476at5820           -            246    0.0019   16.3   5.7   3   3      0.27   3.5e+02   -0.9   0.1   136   169   522   555   514   567 0.81 | transcript=PVPAM_080034600_t1 | gene=PVPAM_080034600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000008:1339529-1341630(-) | protein_length=634 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 9476at5820           -            246     0.028   12.5  15.2   1   3      0.26   3.4e+02   -0.9   0.0   100   157   161   214   150   238 0.51 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 9476at5820           -            246     0.028   12.5  15.2   2   3   4.8e-06    0.0062   14.6   4.1    58   176   237   361   210   380 0.49 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 9476at5820           -            246     0.028   12.5  15.2   3   3     0.043        55    1.7   3.4    37   111   402   476   377   553 0.74 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9476at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/9476at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/9476at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:51:15 2026
# [ok]
