#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722025.1         -           1206 1152at5820           -            961         0 1849.9  55.8   1   3  1.2e-143  1.3e-140  468.9   9.2     1   214    68   283    68   286 0.99 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 1152at5820           -            961         0 1849.9  55.8   2   3         0         0 1085.8  22.7   213   748   328   910   322   922 0.95 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 1152at5820           -            961         0 1849.9  55.8   3   3   3.5e-94   3.8e-91  305.2   7.9   747   961   935  1174   932  1174 0.94 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1152at5820           -            961   8.1e-37  125.3  10.6   1   1   1.2e-36   1.3e-33  114.7  10.6     9   606    46   639    39   663 0.79 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1152at5820           -            961     7e-21   72.6  27.8   1   7   1.8e-13   1.9e-10   38.1   0.1    11    97   159   251   153   259 0.75 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1152at5820           -            961     7e-21   72.6  27.8   2   7      0.12   1.3e+02   -1.1   0.9   114   397   340   417   331   433 0.66 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1152at5820           -            961     7e-21   72.6  27.8   3   7    0.0013       1.4    5.4   0.2   213   326   491   618   485   625 0.65 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1152at5820           -            961     7e-21   72.6  27.8   4   7   8.1e-09   8.7e-06   22.6   0.4   380   456   776   854   753   858 0.81 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1152at5820           -            961     7e-21   72.6  27.8   5   7     0.031        33    0.9   0.0   539   560  1014  1035  1002  1041 0.81 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1152at5820           -            961     7e-21   72.6  27.8   6   7      0.95     1e+03   -4.1   0.0   568   596  1112  1140  1110  1144 0.87 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723589.1         -           1570 1152at5820           -            961     7e-21   72.6  27.8   7   7   1.7e-08   1.8e-05   21.6   0.6   583   747  1174  1360  1171  1376 0.75 | transcript=PVPAM_140051300_t1 | gene=PVPAM_140051300 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000014:1997831-2003037(+) | protein_length=1570 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1152at5820           -            961     1e-14   52.2  10.3   1   2    0.0001      0.11    9.1   0.5     5    95   185   281   179   294 0.69 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719304.1         -            886 1152at5820           -            961     1e-14   52.2  10.3   2   2   4.6e-16     5e-13   46.6   3.8   536   762   464   704   437   762 0.78 | transcript=PVPAM_060031100_t1 | gene=PVPAM_060031100 | organism=Plasmodium_vivax_PAM | gene_product=methionine--tRNA ligase, putative | transcript_product=methionine--tRNA ligase, putative | location=CASCJQ010000006:1063954-1066614(+) | protein_length=886 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1152at5820           -            961   1.5e-07   28.4  14.0   1   3     1e-05     0.011   12.4   6.9    34   190   138   278   133   286 0.84 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1152at5820           -            961   1.5e-07   28.4  14.0   2   3    0.0013       1.4    5.4   0.0   438   456   589   607   576   611 0.88 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
