#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722762.1         -            758 2821at5820           -            413    1e-275  912.5  17.9   1   3  2.7e-130  2.2e-127  423.9   4.5     1   192     1   196     1   211 0.97 | transcript=PVPAM_130026300_t1 | gene=PVPAM_130026300 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=CASCJQ010000013:971149-973889(+) | protein_length=758 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722762.1         -            758 2821at5820           -            413    1e-275  912.5  17.9   2   3  7.8e-133  6.3e-130  432.3   0.1   190   380   229   421   219   429 0.97 | transcript=PVPAM_130026300_t1 | gene=PVPAM_130026300 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=CASCJQ010000013:971149-973889(+) | protein_length=758 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722762.1         -            758 2821at5820           -            413    1e-275  912.5  17.9   3   3   4.1e-21   3.3e-18   64.4   1.5   374   413   458   497   447   497 0.94 | transcript=PVPAM_130026300_t1 | gene=PVPAM_130026300 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=CASCJQ010000013:971149-973889(+) | protein_length=758 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 2821at5820           -            413   3.4e-30  103.9   5.9   1   4       0.1        81    0.5   0.0   107   196   145   231    93   243 0.72 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 2821at5820           -            413   3.4e-30  103.9   5.9   2   4   2.5e-20     2e-17   61.8   0.0   220   379   287   446   278   457 0.86 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 2821at5820           -            413   3.4e-30  103.9   5.9   3   4     4e-14   3.3e-11   41.3   1.1   374   413   485   524   473   524 0.95 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720862.1         -            971 2821at5820           -            413   3.4e-30  103.9   5.9   4   4      0.84   6.7e+02   -2.5   0.0    29    73   719   763   712   770 0.79 | transcript=PVPAM_100013000_t1 | gene=PVPAM_100013000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM3, putative | transcript_product=DNA replication licensing factor MCM3, putative | location=CASCJQ010000010:352385-355420(+) | protein_length=971 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717675.1         -            832 2821at5820           -            413   1.7e-29  101.6   1.0   1   2   4.3e-21   3.5e-18   64.3   0.1   219   381   285   449   265   460 0.86 | transcript=PVPAM_010018500_t1 | gene=PVPAM_010018500 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=CASCJQ010000001:655820-658318(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717675.1         -            832 2821at5820           -            413   1.7e-29  101.6   1.0   2   2   2.1e-12   1.7e-09   35.7   0.1   374   413   486   525   467   525 0.94 | transcript=PVPAM_010018500_t1 | gene=PVPAM_010018500 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=CASCJQ010000001:655820-658318(-) | protein_length=832 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722954.1         -            972 2821at5820           -            413   4.1e-26   90.4   0.4   1   3   6.7e-14   5.4e-11   40.6   0.0   220   357   383   520   375   534 0.84 | transcript=PVPAM_130046000_t1 | gene=PVPAM_130046000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=CASCJQ010000013:1768405-1771500(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722954.1         -            972 2821at5820           -            413   4.1e-26   90.4   0.4   2   3    0.0017       1.4    6.3   0.0   363   378   550   565   526   574 0.79 | transcript=PVPAM_130046000_t1 | gene=PVPAM_130046000 | organism=Plasmodium_vivax_PAM | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=CASCJQ010000013:1768405-1771500(-) | protein_length=972 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
