#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719488.1         -           2092 870at5820            -           1107         0 1929.2 147.3   1   6     7e-19   1.5e-15   54.6   0.8     1    91     1    98     1   104 0.84 | transcript=PVPAM_070010200_t1 | gene=PVPAM_070010200 | organism=Plasmodium_vivax_PAM | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=CASCJQ010000007:284292-290904(-) | protein_length=2092 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719488.1         -           2092 870at5820            -           1107         0 1929.2 147.3   2   6  5.4e-122  1.2e-118  396.1  21.5    63   304   307   572   300   582 0.89 | transcript=PVPAM_070010200_t1 | gene=PVPAM_070010200 | organism=Plasmodium_vivax_PAM | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=CASCJQ010000007:284292-290904(-) | protein_length=2092 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719488.1         -           2092 870at5820            -           1107         0 1929.2 147.3   3   6     9e-77   1.9e-73  246.3  12.4   308   440   986  1118   965  1131 0.94 | transcript=PVPAM_070010200_t1 | gene=PVPAM_070010200 | organism=Plasmodium_vivax_PAM | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=CASCJQ010000007:284292-290904(-) | protein_length=2092 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719488.1         -           2092 870at5820            -           1107         0 1929.2 147.3   4   6  1.1e-170  2.4e-167  557.3  26.6   438   706  1219  1488  1214  1494 0.98 | transcript=PVPAM_070010200_t1 | gene=PVPAM_070010200 | organism=Plasmodium_vivax_PAM | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=CASCJQ010000007:284292-290904(-) | protein_length=2092 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719488.1         -           2092 870at5820            -           1107         0 1929.2 147.3   5   6   1.4e-31   3.1e-28   96.6  11.2   706   800  1609  1727  1601  1737 0.84 | transcript=PVPAM_070010200_t1 | gene=PVPAM_070010200 | organism=Plasmodium_vivax_PAM | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=CASCJQ010000007:284292-290904(-) | protein_length=2092 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719488.1         -           2092 870at5820            -           1107         0 1929.2 147.3   6   6    1e-184  2.3e-181  603.7  35.7   795  1107  1750  2081  1733  2081 0.93 | transcript=PVPAM_070010200_t1 | gene=PVPAM_070010200 | organism=Plasmodium_vivax_PAM | gene_product=copper-transporting ATPase, putative | transcript_product=copper-transporting ATPase, putative | location=CASCJQ010000007:284292-290904(-) | protein_length=2092 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 870at5820            -           1107   1.2e-08   31.7   0.4   1   2    0.0063        14    1.8   4.7   484   673   170   366   138   377 0.69 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717931.1         -           1191 870at5820            -           1107   1.2e-08   31.7   0.4   2   2   5.8e-12   1.2e-08   31.7   0.4   984  1076   842   934   831   964 0.76 | transcript=PVPAM_020016300_t1 | gene=PVPAM_020016300 | organism=Plasmodium_vivax_PAM | gene_product=calcium-transporting ATPase, putative | transcript_product=calcium-transporting ATPase, putative | location=CASCJQ010000002:474480-478546(+) | protein_length=1191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 870at5820            -           1107   2.9e-08   30.5   1.3   1   3     0.001       2.3    4.3   0.2   569   685   444   556   328   571 0.69 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 870at5820            -           1107   2.9e-08   30.5   1.3   2   3    0.0042         9    2.4   0.0   940   990   827   877   818   898 0.90 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722764.1         -           1355 870at5820            -           1107   2.9e-08   30.5   1.3   3   3   1.6e-08   3.5e-05   20.3   0.5   993  1083   929  1019   923  1037 0.72 | transcript=PVPAM_130026500_t1 | gene=PVPAM_130026500 | organism=Plasmodium_vivax_PAM | gene_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | transcript_product=non-SERCA-type Ca2+ -transporting P-ATPase, putative | location=CASCJQ010000013:979421-983488(-) | protein_length=1355 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
