#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719305.1         -           1156 3333at5820           -            635  5.6e-285  945.2  57.1   1   8   2.5e-50   8.1e-47  158.4   8.4     2   124    34   170    33   178 0.90 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 3333at5820           -            635  5.6e-285  945.2  57.1   2   8     1e-18   3.4e-15   53.9   0.0   124   165   203   244   199   251 0.94 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 3333at5820           -            635  5.6e-285  945.2  57.1   3   8     2e-15   6.6e-12   43.1   0.5   164   215   274   334   266   338 0.85 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 3333at5820           -            635  5.6e-285  945.2  57.1   4   8   4.6e-47   1.5e-43  147.6   9.6   209   299   463   553   446   556 0.92 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 3333at5820           -            635  5.6e-285  945.2  57.1   5   8     2e-54   6.6e-51  171.9   2.5   300   401   587   695   584   699 0.93 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 3333at5820           -            635  5.6e-285  945.2  57.1   6   8     9e-47   2.9e-43  146.6   2.8   398   482   850   934   833   941 0.92 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 3333at5820           -            635  5.6e-285  945.2  57.1   7   8     1e-51   3.4e-48  163.0   0.0   481   582   962  1066   958  1070 0.95 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719305.1         -           1156 3333at5820           -            635  5.6e-285  945.2  57.1   8   8     4e-27   1.3e-23   81.7   0.0   574   634  1096  1155  1092  1156 0.93 | transcript=PVPAM_060031200_t1 | gene=PVPAM_060031200 | organism=Plasmodium_vivax_PAM | gene_product=U2 snRNA/tRNA pseudouridine synthase, putative | transcript_product=U2 snRNA/tRNA pseudouridine synthase, putative | location=CASCJQ010000006:1067390-1070860(-) | protein_length=1156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718005.1         -            901 3333at5820           -            635   9.5e-18   62.4  21.9   1   5   0.00032         1    6.1   0.0    25    48    75    98    58   106 0.85 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718005.1         -            901 3333at5820           -            635   9.5e-18   62.4  21.9   2   5     9e-20   2.9e-16   57.5  11.4   233   384   162   331   154   364 0.75 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718005.1         -            901 3333at5820           -            635   9.5e-18   62.4  21.9   3   5    0.0022         7    3.3   0.0   448   484   501   537   484   557 0.81 | transcript=PVPAM_020023600_t1 | gene=PVPAM_020023600 | organism=Plasmodium_vivax_PAM | gene_product=tRNA pseudouridine synthase D, putative | transcript_product=tRNA pseudouridine synthase D, putative | location=CASCJQ010000002:792917-795622(+) | protein_length=901 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
