#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719747.1         -           1212 2346at5820           -            854         0 1341.5  44.2   1   4  5.4e-305  5.9e-302 1002.4  11.1     6   599    10   721     1   723 0.93 | transcript=PVPAM_070036100_t1 | gene=PVPAM_070036100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:1296296-1299934(-) | protein_length=1212 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719747.1         -           1212 2346at5820           -            854         0 1341.5  44.2   2   4         6   6.5e+03   -8.0   7.4   164   191   769   796   730   837 0.34 | transcript=PVPAM_070036100_t1 | gene=PVPAM_070036100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:1296296-1299934(-) | protein_length=1212 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719747.1         -           1212 2346at5820           -            854         0 1341.5  44.2   3   4   1.7e-26   1.8e-23   81.0   0.0   597   651   854   908   851   917 0.94 | transcript=PVPAM_070036100_t1 | gene=PVPAM_070036100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:1296296-1299934(-) | protein_length=1212 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719747.1         -           1212 2346at5820           -            854         0 1341.5  44.2   4   4   2.5e-86   2.7e-83  279.0   6.8   652   854   972  1212   954  1212 0.94 | transcript=PVPAM_070036100_t1 | gene=PVPAM_070036100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:1296296-1299934(-) | protein_length=1212 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720704.1         -            735 2346at5820           -            854   0.00026   17.7  15.0   1   2   4.7e-07   0.00051   16.7   7.9   435   558   194   324   183   331 0.88 | transcript=PVPAM_090046900_t1 | gene=PVPAM_090046900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000009:1895232-1897439(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720704.1         -            735 2346at5820           -            854   0.00026   17.7  15.0   2   2    0.0017       1.8    5.0   0.6   370   411   480   523   463   557 0.76 | transcript=PVPAM_090046900_t1 | gene=PVPAM_090046900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000009:1895232-1897439(+) | protein_length=735 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 2346at5820           -            854     0.039   10.5  14.3   1   3   2.5e-05     0.027   11.0   2.9   522   593    74   146    70   168 0.88 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 2346at5820           -            854     0.039   10.5  14.3   2   3     0.024        25    1.2   0.0   328   435   384   485   371   489 0.55 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 2346at5820           -            854     0.039   10.5  14.3   3   3    0.0035       3.7    3.9   1.6   342   404   538   599   523   614 0.80 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718229.1         -            282 2346at5820           -            854       2.4    4.5  10.6   1   1    0.0032       3.4    4.1  10.6   108   221    77   204    72   279 0.64 | transcript=PVPAM_030022900_t1 | gene=PVPAM_030022900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor CWC15, putative | transcript_product=pre-mRNA-splicing factor CWC15, putative | location=CASCJQ010000003:737298-738263(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723091.1         -            132 2346at5820           -            854       3.9    3.9   9.4   1   1     0.004       4.3    3.7   9.4   122   218     7   105     3   128 0.59 | transcript=PVPAM_130059700_t1 | gene=PVPAM_130059700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:2418230-2418763(-) | protein_length=132 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721104.1         -            456 2346at5820           -            854       6.4    3.1   7.4   1   1    0.0085       9.2    2.6   7.4    96   182   287   377   282   434 0.54 | transcript=PVPAM_100037200_t1 | gene=PVPAM_100037200 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000010:1384535-1385905(-) | protein_length=456 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2346at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2346at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:17 2026
# [ok]
