#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719267.1         -            369 6781at5820           -            324  8.6e-193  638.3  63.2   1   1    2e-195  1.1e-192  638.0  63.2     1   316    11   338    11   353 0.97 | transcript=PVPAM_060027400_t1 | gene=PVPAM_060027400 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat-containing protein 1, putative | transcript_product=MORN repeat-containing protein 1, putative | location=CASCJQ010000006:926233-927342(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 6781at5820           -            324     5e-29  100.2  29.7   1   2   1.3e-24   6.8e-22   76.7  12.1     2   123    48   169    47   170 0.97 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722269.1         -            326 6781at5820           -            324     5e-29  100.2  29.7   2   2   2.7e-11   1.5e-08   32.9  12.1    89   187   158   258   151   294 0.86 | transcript=PVPAM_120050600_t1 | gene=PVPAM_120050600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000012:1860357-1861867(+) | protein_length=326 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 6781at5820           -            324     2e-20   71.9  27.0   1   4       1.5   7.9e+02   -2.4   0.1   142   150   203   211   182   261 0.55 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 6781at5820           -            324     2e-20   71.9  27.0   2   4   5.6e-07    0.0003   18.7   1.4   228   279   852   907   836   909 0.66 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 6781at5820           -            324     2e-20   71.9  27.0   3   4   1.8e-17   9.6e-15   53.2   8.4     3   125   904  1031   902  1054 0.90 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721024.1         -           1397 6781at5820           -            324     2e-20   71.9  27.0   4   4   6.3e-06    0.0034   15.3   0.8    72   125  1291  1343  1278  1365 0.53 | transcript=PVPAM_100029200_t1 | gene=PVPAM_100029200 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000010:1045384-1049771(+) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720582.1         -           1002 6781at5820           -            324   4.7e-18   64.1  23.4   1   1   1.8e-12   9.5e-10   36.8   4.8    46   133   156   244   145   251 0.88 | transcript=PVPAM_090034700_t1 | gene=PVPAM_090034700 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000009:1325948-1328956(+) | protein_length=1002 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718564.1         -            191 6781at5820           -            324   3.7e-16   57.9   9.4   1   1   9.1e-19   4.9e-16   57.5   9.4    14   125    36   147    24   176 0.67 | transcript=PVPAM_040030800_t1 | gene=PVPAM_040030800 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000004:1077053-1078241(+) | protein_length=191 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 6781at5820           -            324     2e-14   52.2  28.7   1   2   5.6e-07    0.0003   18.7   8.0    69   113    44    88    17   104 0.74 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720004.1         -            381 6781at5820           -            324     2e-14   52.2  28.7   2   2   2.9e-13   1.6e-10   39.4  12.7    74   184   229   339   176   354 0.86 | transcript=PVPAM_080022600_t1 | gene=PVPAM_080022600 | organism=Plasmodium_vivax_PAM | gene_product=MORN repeat protein, putative | transcript_product=MORN repeat protein, putative | location=CASCJQ010000008:819982-822067(-) | protein_length=381 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
