#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719485.1         -           1589 1668at5820           -            781         0 1185.6 228.5   1   6   1.9e-08   3.1e-05   21.1   3.3     1    78     1    82     1   139 0.73 | transcript=PVPAM_070009900_t1 | gene=PVPAM_070009900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000007:271893-276833(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719485.1         -           1589 1668at5820           -            781         0 1185.6 228.5   2   6   1.6e-85   2.7e-82  275.9  19.4    65   220   413   585   396   592 0.89 | transcript=PVPAM_070009900_t1 | gene=PVPAM_070009900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000007:271893-276833(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719485.1         -           1589 1668at5820           -            781         0 1185.6 228.5   3   6   4.4e-11   7.2e-08   29.8  30.5   216   408   635   832   630   833 0.59 | transcript=PVPAM_070009900_t1 | gene=PVPAM_070009900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000007:271893-276833(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719485.1         -           1589 1668at5820           -            781         0 1185.6 228.5   4   6         4   6.5e+03  -26.7  75.4   267   319   819   870   806   918 0.47 | transcript=PVPAM_070009900_t1 | gene=PVPAM_070009900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000007:271893-276833(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719485.1         -           1589 1668at5820           -            781         0 1185.6 228.5   5   6   2.4e-21   3.8e-18   63.7  26.8   278   376   934  1035   882  1069 0.62 | transcript=PVPAM_070009900_t1 | gene=PVPAM_070009900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000007:271893-276833(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719485.1         -           1589 1668at5820           -            781         0 1185.6 228.5   6   6  9.7e-251  1.6e-247  822.3  69.3   262   781  1043  1587  1029  1587 0.84 | transcript=PVPAM_070009900_t1 | gene=PVPAM_070009900 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin specific protease, putative | transcript_product=ubiquitin specific protease, putative | location=CASCJQ010000007:271893-276833(+) | protein_length=1589 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1668at5820           -            781   1.7e-07   28.5   1.6   1   6       1.1   1.7e+03   -4.6   0.7    73   147    13    88    11    91 0.70 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1668at5820           -            781   1.7e-07   28.5   1.6   2   6   9.1e-05      0.15    8.9   0.0   414   454   324   364   285   382 0.73 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1668at5820           -            781   1.7e-07   28.5   1.6   3   6   5.7e-05     0.092    9.6   0.4   541   629   421   524   365   531 0.63 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1668at5820           -            781   1.7e-07   28.5   1.6   4   6      0.14   2.3e+02   -1.7   3.5   228   257   626   657   562   722 0.57 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720969.1         -           1354 1668at5820           -            781   1.7e-07   28.5   1.6   5   6       1.1   1.7e+03   -4.6   0.7   288   331   803   846   748   856 0.48 | transcript=PVPAM_100023700_t1 | gene=PVPAM_100023700 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin carboxyl-terminal hydrolase 2, putative | transcript_product=ubiquitin carboxyl-terminal hydrolase 2, putative | location=CASCJQ010000010:826735-831373(-) | protein_length=1354 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
