#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721562.1         -           1016 4120at5820           -            764         0 1500.2 124.4   1   5   3.8e-10   1.6e-07   28.3   4.5     1    34     1    35     1    40 0.90 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 4120at5820           -            764         0 1500.2 124.4   2   5   4.9e-08   2.1e-05   21.3   7.8    22    55    58    91    49   102 0.83 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 4120at5820           -            764         0 1500.2 124.4   3   5   1.5e-53   6.6e-51  171.8  52.2    31   171   124   267   106   273 0.84 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 4120at5820           -            764         0 1500.2 124.4   4   5   0.00034      0.14    8.6   1.1   164   187   305   330   303   333 0.78 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721562.1         -           1016 4120at5820           -            764         0 1500.2 124.4   5   5         0         0 1293.2  30.2    90   764   328  1016   324  1016 0.92 | transcript=PVPAM_110046700_t1 | gene=PVPAM_110046700 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000011:1732633-1735683(-) | protein_length=1016 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718754.1         -           1164 4120at5820           -            764   3.8e-27   93.2   2.7   1   1     2e-29   8.8e-27   92.0   2.7   160   317   556   703   528   707 0.84 | transcript=PVPAM_050014800_t1 | gene=PVPAM_050014800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000005:449467-452961(-) | protein_length=1164 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 4120at5820           -            764     4e-16   56.8   1.2   1   2   9.3e-19     4e-16   56.8   1.2   185   316   763   880   758   885 0.91 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720970.1         -           1376 4120at5820           -            764     4e-16   56.8   1.2   2   2      0.49   2.1e+02   -1.8   2.2   561   704  1213  1355  1166  1361 0.60 | transcript=PVPAM_100023800_t1 | gene=PVPAM_100023800 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2 | transcript_product=translation initiation factor IF-2 | location=CASCJQ010000010:834489-838619(+) | protein_length=1376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723290.1         -           1066 4120at5820           -            764   2.8e-15   53.9   5.2   1   4   1.4e-16   6.1e-14   49.5   0.3   184   319   200   317   194   355 0.86 | transcript=PVPAM_140020900_t1 | gene=PVPAM_140020900 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000014:701480-704680(+) | protein_length=1066 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723290.1         -           1066 4120at5820           -            764   2.8e-15   53.9   5.2   2   4      0.13        58    0.0  12.6    27   110   597   680   581   690 0.61 | transcript=PVPAM_140020900_t1 | gene=PVPAM_140020900 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000014:701480-704680(+) | protein_length=1066 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723290.1         -           1066 4120at5820           -            764   2.8e-15   53.9   5.2   3   4       8.4   3.6e+03   -5.9   7.2    79   120   857   901   822   924 0.67 | transcript=PVPAM_140020900_t1 | gene=PVPAM_140020900 | organism=Plasmodium_vivax_PAM | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=CASCJQ010000014:701480-704680(+) | protein_length=1066 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
