#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722407.1         -           1228 1841at5820           -            929         0 1701.1  87.0   1   4    1e-148  2.6e-146  487.9  22.5     1   263     1   276     1   283 0.96 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 1841at5820           -            929         0 1701.1  87.0   2   4   3.9e-72   9.7e-70  234.5  17.3   257   420   336   512   326   515 0.90 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 1841at5820           -            929         0 1701.1  87.0   3   4   1.2e-57   3.1e-55  186.5   2.8   419   537   592   725   585   730 0.93 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722407.1         -           1228 1841at5820           -            929         0 1701.1  87.0   4   4  3.1e-246  7.6e-244  810.7  20.6   538   928   823  1221   817  1222 0.99 | transcript=PVPAM_120064300_t1 | gene=PVPAM_120064300 | organism=Plasmodium_vivax_PAM | gene_product=U3 small nucleolar RNA-associated protein 12, putative | transcript_product=U3 small nucleolar RNA-associated protein 12, putative | location=CASCJQ010000012:2421970-2425805(+) | protein_length=1228 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 1841at5820           -            929     7e-20   69.5  10.5   1   3   4.4e-13   1.1e-10   39.1   3.8    80   197    50   159    29   163 0.88 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 1841at5820           -            929     7e-20   69.5  10.5   2   3   1.1e-06   0.00028   17.9   0.1    72   139   168   234   159   247 0.85 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718796.1         -            324 1841at5820           -            929     7e-20   69.5  10.5   3   3   2.6e-08   6.4e-06   23.3   0.1    36   135   224   321   223   324 0.93 | transcript=PVPAM_050019000_t1 | gene=PVPAM_050019000 | organism=Plasmodium_vivax_PAM | gene_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | transcript_product=U5 small nuclear ribonucleoprotein 40 kDa protein, putative | location=CASCJQ010000005:627988-628962(-) | protein_length=324 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1841at5820           -            929   2.9e-17   60.8  14.6   1   5   1.5e-07   3.7e-05   20.8   0.0    91   158   103   171    88   173 0.87 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1841at5820           -            929   2.9e-17   60.8  14.6   2   5   1.6e-08     4e-06   24.0   0.1    73   159   127   214   121   226 0.90 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1841at5820           -            929   2.9e-17   60.8  14.6   3   5   8.8e-06    0.0022   14.9   1.8    84   162   343   424   337   447 0.79 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1841at5820           -            929   2.9e-17   60.8  14.6   4   5   3.3e-06   0.00083   16.3   0.1   105   188   491   566   461   570 0.64 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1841at5820           -            929   2.9e-17   60.8  14.6   5   5   0.00077      0.19    8.5   0.1   575   611   623   659   616   660 0.88 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 1841at5820           -            929   9.9e-17   59.1  12.4   1   3   6.3e-10   1.6e-07   28.6   0.3    54   154   341   443   331   451 0.82 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 1841at5820           -            929   9.9e-17   59.1  12.4   2   3   3.2e-10     8e-08   29.6   0.2    90   196   421   519   419   520 0.93 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 1841at5820           -            929   9.9e-17   59.1  12.4   3   3   1.7e-08   4.3e-06   23.8   1.8   554   697   453   596   451   626 0.78 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 1841at5820           -            929   2.2e-16   57.9  12.3   1   3     8e-10     2e-07   28.3   0.3    54   151   350   449   340   457 0.82 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 1841at5820           -            929   2.2e-16   57.9  12.3   2   3   5.6e-10   1.4e-07   28.8   0.2    91   196   431   528   430   529 0.93 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 1841at5820           -            929   2.2e-16   57.9  12.3   3   3   1.8e-08   4.5e-06   23.8   1.8   554   697   462   605   460   632 0.78 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720279.1         -            595 1841at5820           -            929   3.3e-16   57.3  13.2   1   3   6.5e-10   1.6e-07   28.6   0.6    41   138   249   352   215   353 0.79 | transcript=PVPAM_080050200_t1 | gene=PVPAM_080050200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor PRP46, putative | transcript_product=pre-mRNA-splicing factor PRP46, putative | location=CASCJQ010000008:1962253-1964257(+) | protein_length=595 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
