#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718865.1         -            406 7619at5820           -            348  2.9e-159  528.3   8.8   1   3   5.7e-83   5.3e-80  267.7   4.6     3   150     4   155     2   158 0.98 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 7619at5820           -            348  2.9e-159  528.3   8.8   2   3     3e-38   2.8e-35  120.6   0.1   150   237   174   263   168   270 0.94 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718865.1         -            406 7619at5820           -            348  2.9e-159  528.3   8.8   3   3   2.3e-44   2.1e-41  140.7   0.0   237   347   286   404   277   405 0.93 | transcript=PVPAM_050025900_t1 | gene=PVPAM_050025900 | organism=Plasmodium_vivax_PAM | gene_product=NEDD8-activating enzyme E1 catalytic subunit, putative | transcript_product=NEDD8-activating enzyme E1 catalytic subunit, putative | location=CASCJQ010000005:896633-897853(-) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 7619at5820           -            348   1.3e-30  105.3  20.9   1   3   1.7e-32   1.6e-29  101.6   9.6     1   204    18   223    18   240 0.82 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 7619at5820           -            348   1.3e-30  105.3  20.9   2   3   8.2e-05     0.076   10.6   1.1   170   235   325   394   296   403 0.81 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723711.1         -            631 7619at5820           -            348   1.3e-30  105.3  20.9   3   3      0.51   4.8e+02   -1.9   0.0   259   289   455   484   454   491 0.70 | transcript=PVPAM_140063500_t1 | gene=PVPAM_140063500 | organism=Plasmodium_vivax_PAM | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=CASCJQ010000014:2513043-2515063(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 7619at5820           -            348   1.9e-25   88.2  20.2   1   3   3.7e-10   3.4e-07   28.2  10.8     2   169    64   232    63   274 0.82 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 7619at5820           -            348   1.9e-25   88.2  20.2   2   3   1.9e-18   1.7e-15   55.5   0.1     2   170   524   705   523   715 0.76 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723596.1         -           1143 7619at5820           -            348   1.9e-25   88.2  20.2   3   3   0.00022      0.21    9.2   0.3   179   255   908   984   881   994 0.79 | transcript=PVPAM_140052000_t1 | gene=PVPAM_140052000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme E1, putative | transcript_product=ubiquitin-activating enzyme E1, putative | location=CASCJQ010000014:2024732-2028715(+) | protein_length=1143 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 7619at5820           -            348   1.3e-20   72.4  15.4   1   4   8.5e-10   7.8e-07   27.0   3.9     2    67   214   279   213   319 0.77 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722022.1         -           1673 7619at5820           -            348   1.3e-20   72.4  15.4   2   4     2e-13   1.8e-10   38.9   0.1     2    67   670   744   669   756 0.86 | transcript=PVPAM_120026100_t1 | gene=PVPAM_120026100 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=CASCJQ010000012:836225-841246(-) | protein_length=1673 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
