#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722329.1         -           1038 1690at5820           -            766         0 1467.6  76.8   1   4    1e-173  1.4e-170  568.0  14.3     1   259     1   259     1   268 0.99 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 1690at5820           -            766         0 1467.6  76.8   2   4  4.3e-219  5.5e-216  718.1  38.2   259   630   307   720   302   727 0.93 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 1690at5820           -            766         0 1467.6  76.8   3   4   0.00098       1.3    5.9   0.0   613   635   748   770   737   783 0.82 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722329.1         -           1038 1690at5820           -            766         0 1467.6  76.8   4   4     5e-56   6.5e-53  178.8   6.2   625   765   857  1035   814  1036 0.85 | transcript=PVPAM_120056600_t1 | gene=PVPAM_120056600 | organism=Plasmodium_vivax_PAM | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=CASCJQ010000012:2092170-2095721(-) | protein_length=1038 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 1690at5820           -            766   1.2e-42  144.9  24.8   1   3   9.1e-46   1.2e-42  144.9  24.8     5   440    16   451    12   460 0.88 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 1690at5820           -            766   1.2e-42  144.9  24.8   2   3    0.0096        12    2.7   3.9   556   599   686   724   633   748 0.77 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719480.1         -           1319 1690at5820           -            766   1.2e-42  144.9  24.8   3   3       1.2   1.5e+03   -4.2   2.1   511   554  1251  1294  1235  1305 0.80 | transcript=PVPAM_070009400_t1 | gene=PVPAM_070009400 | organism=Plasmodium_vivax_PAM | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=CASCJQ010000007:246961-251977(-) | protein_length=1319 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 1690at5820           -            766   2.1e-27   94.5  33.2   1   3   3.9e-25   5.1e-22   76.7  12.0     6   169    10   178     4   232 0.87 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 1690at5820           -            766   2.1e-27   94.5  33.2   2   3     8e-09     1e-05   22.8   8.2   275   426   547   702   542   712 0.85 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721459.1         -           1287 1690at5820           -            766   2.1e-27   94.5  33.2   3   3    0.0062       8.1    3.3   0.2   557   607   842   892   830   926 0.78 | transcript=PVPAM_110036400_t1 | gene=PVPAM_110036400 | organism=Plasmodium_vivax_PAM | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=CASCJQ010000011:1321187-1325970(-) | protein_length=1287 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717741.1         -           1422 1690at5820           -            766   1.3e-06   25.7   0.4   1   3     0.056        72    0.1   0.0    48   120    62   134    54   166 0.70 | transcript=PVPAM_010025500_t1 | gene=PVPAM_010025500 | organism=Plasmodium_vivax_PAM | gene_product=AP-3 complex subunit delta, putative | transcript_product=AP-3 complex subunit delta, putative | location=CASCJQ010000001:920118-924702(-) | protein_length=1422 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
