#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720224.1         -           3769 240at5820            -           2846         0 3763.8  65.0   1   5  1.7e-190  2.9e-188  626.4   6.9     2   392     2   443     1   457 0.87 | transcript=PVPAM_080044700_t1 | gene=PVPAM_080044700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1739277-1750969(+) | protein_length=3769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720224.1         -           3769 240at5820            -           2846         0 3763.8  65.0   2   5   8.7e-52   1.5e-49  166.2  16.7   393   703   485   917   478   936 0.70 | transcript=PVPAM_080044700_t1 | gene=PVPAM_080044700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1739277-1750969(+) | protein_length=3769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720224.1         -           3769 240at5820            -           2846         0 3763.8  65.0   3   5  9.2e-186  1.6e-183  610.7   0.0   700  1401   961  1955   952  1958 0.75 | transcript=PVPAM_080044700_t1 | gene=PVPAM_080044700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1739277-1750969(+) | protein_length=3769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720224.1         -           3769 240at5820            -           2846         0 3763.8  65.0   4   5   4.4e-87   7.7e-85  283.3   0.0  1397  1578  1995  2285  1992  2291 0.96 | transcript=PVPAM_080044700_t1 | gene=PVPAM_080044700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1739277-1750969(+) | protein_length=3769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720224.1         -           3769 240at5820            -           2846         0 3763.8  65.0   5   5         0         0 2081.0  24.0  1586  2844  2375  3767  2359  3769 0.90 | transcript=PVPAM_080044700_t1 | gene=PVPAM_080044700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000008:1739277-1750969(+) | protein_length=3769 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722718.1         -            360 240at5820            -           2846   2.3e-07   26.3  41.0   1   1   1.5e-09   2.6e-07   26.1  41.0  1172  1400    60   279    29   328 0.52 | transcript=PVPAM_130021900_t1 | gene=PVPAM_130021900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000013:763412-764644(+) | protein_length=360 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722911.1         -            974 240at5820            -           2846   6.6e-07   24.8  24.3   1   2       3.1   5.4e+02   -4.8   3.0  1183  2141   385   427   358   452 0.39 | transcript=PVPAM_130041300_t1 | gene=PVPAM_130041300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1607004-1609928(-) | protein_length=974 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722911.1         -            974 240at5820            -           2846   6.6e-07   24.8  24.3   2   2   3.8e-09   6.6e-07   24.8  24.3  1049  1302   468   743   461   782 0.37 | transcript=PVPAM_130041300_t1 | gene=PVPAM_130041300 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000013:1607004-1609928(-) | protein_length=974 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723426.1         -            318 240at5820            -           2846   0.00012   17.2  60.3   1   1   8.3e-07   0.00014   17.0  60.3  1190  1348    98   259    56   279 0.44 | transcript=PVPAM_140034800_t1 | gene=PVPAM_140034800 | organism=Plasmodium_vivax_PAM | gene_product=NPL domain-containing protein, putative | transcript_product=NPL domain-containing protein, putative | location=CASCJQ010000014:1267733-1269184(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 240at5820            -           2846   0.00014   17.0  37.8   1   2   1.7e-05     0.003   12.6  15.0  1256  1343   214   300   184   329 0.54 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720335.1         -            630 240at5820            -           2846   0.00014   17.0  37.8   2   2   9.1e-05     0.016   10.2  14.8  1233  1350   381   498   367   508 0.44 | transcript=PVPAM_090010100_t1 | gene=PVPAM_090010100 | organism=Plasmodium_vivax_PAM | gene_product=radial spoke head protein, putative | transcript_product=radial spoke head protein, putative | location=CASCJQ010000009:324938-326830(+) | protein_length=630 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
