#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722902.1         -            284 11010at5820          -            232  9.2e-139  459.2  26.0   1   1  1.4e-140  1.6e-138  458.4  26.0     1   232    18   279    18   279 0.96 | transcript=PVPAM_130040400_t1 | gene=PVPAM_130040400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=CASCJQ010000013:1566035-1568262(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 11010at5820          -            232   4.7e-39  132.9   8.3   1   1     4e-41   4.7e-39  132.9   8.3    11   231   127   374   118   375 0.84 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 11010at5820          -            232   2.9e-36  123.8   0.9   1   1     1e-37   1.2e-35  121.8   0.9    11   231   166   414   157   415 0.82 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723804.1         -            755 11010at5820          -            232   4.9e-36  123.0   0.5   1   2       1.3   1.5e+02    0.4   0.4    24    73    97   146    93   154 0.85 | transcript=PVPAM_140072700_t1 | gene=PVPAM_140072700 | organism=Plasmodium_vivax_PAM | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=CASCJQ010000014:2870308-2872708(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723804.1         -            755 11010at5820          -            232   4.9e-36  123.0   0.5   2   2   4.2e-38   4.9e-36  123.0   0.5     4   225   428   671   425   676 0.85 | transcript=PVPAM_140072700_t1 | gene=PVPAM_140072700 | organism=Plasmodium_vivax_PAM | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=CASCJQ010000014:2870308-2872708(-) | protein_length=755 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 11010at5820          -            232   9.7e-35  118.8  13.7   1   1   8.3e-37   9.7e-35  118.8  13.7     6   231  1184  1434  1180  1435 0.81 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 11010at5820          -            232   2.8e-34  117.3   9.1   1   1     6e-36   7.1e-34  115.9   9.1     3   232    69   329    67   329 0.77 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718435.1         -            526 11010at5820          -            232   1.8e-33  114.6  13.8   1   1   4.7e-35   5.5e-33  113.0  13.8     7   228    59   320    47   327 0.78 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 11010at5820          -            232   1.2e-32  111.9   3.4   1   2     1e-34   1.2e-32  111.9   3.4     4   232  1503  1760  1501  1760 0.81 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 11010at5820          -            232   1.2e-32  111.9   3.4   2   2       6.7   7.8e+02   -2.0   0.1   131   170  1767  1807  1764  1822 0.81 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722343.1         -            861 11010at5820          -            232   2.6e-28   97.7  12.0   1   1     1e-29   1.2e-27   95.6  12.0     3   231   479   733   477   734 0.78 | transcript=PVPAM_120057900_t1 | gene=PVPAM_120057900 | organism=Plasmodium_vivax_PAM | gene_product=SNF1-related serine/threonine protein kinase KIN, putative | transcript_product=SNF1-related serine/threonine protein kinase KIN, putative | location=CASCJQ010000012:2138523-2141108(-) | protein_length=861 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722783.1         -            854 11010at5820          -            232   1.3e-23   82.4   0.1   1   1     3e-25   3.5e-23   81.0   0.0     5   175   542   718   538   785 0.83 | transcript=PVPAM_130028400_t1 | gene=PVPAM_130028400 | organism=Plasmodium_vivax_PAM | gene_product=cGMP-dependent protein kinase | transcript_product=cGMP-dependent protein kinase | location=CASCJQ010000013:1044052-1047856(+) | protein_length=854 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 11010at5820          -            232   3.6e-22   77.6   6.2   1   2   2.4e-17   2.8e-15   55.1   2.1     5   164    20   175    17   191 0.83 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722833.1         -            710 11010at5820          -            232   3.6e-22   77.6   6.2   2   2     6e-08     7e-06   24.3   0.1   181   227   251   301   246   308 0.87 | transcript=PVPAM_130033500_t1 | gene=PVPAM_130033500 | organism=Plasmodium_vivax_PAM | gene_product=mitogen-activated protein kinase 1, putative | transcript_product=mitogen-activated protein kinase 1, putative | location=CASCJQ010000013:1298190-1300322(+) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723731.1         -            508 11010at5820          -            232   1.6e-21   75.6   5.3   1   2   1.3e-23   1.6e-21   75.6   5.3     2   231   108   363   107   364 0.78 | transcript=PVPAM_140065500_t1 | gene=PVPAM_140065500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=CASCJQ010000014:2591167-2592693(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723731.1         -            508 11010at5820          -            232   1.6e-21   75.6   5.3   2   2      0.84        99    0.9   0.2   131   163   373   405   366   416 0.80 | transcript=PVPAM_140065500_t1 | gene=PVPAM_140065500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=CASCJQ010000014:2591167-2592693(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 11010at5820          -            232   2.2e-21   75.1   5.6   1   3   1.9e-23   2.2e-21   75.1   5.6     2   157    32   187    31   198 0.81 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 11010at5820          -            232   2.2e-21   75.1   5.6   2   3       5.4   6.4e+02   -1.7   0.9    21    58   280   318   273   406 0.62 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720502.1         -            561 11010at5820          -            232   2.2e-21   75.1   5.6   3   3      0.26        31    2.6   0.0   170   224   371   429   332   435 0.77 | transcript=PVPAM_090026700_t1 | gene=PVPAM_090026700 | organism=Plasmodium_vivax_PAM | gene_product=3-phosphoinositide-dependent protein kinase 1, putative | transcript_product=3-phosphoinositide-dependent protein kinase 1, putative | location=CASCJQ010000009:990615-992300(-) | protein_length=561 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 11010at5820          -            232     4e-21   74.2  14.8   1   2   4.6e-23   5.4e-21   73.8  12.8    32   145   292   406   279   426 0.86 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720338.1         -           1278 11010at5820          -            232     4e-21   74.2  14.8   2   2       2.4   2.8e+02   -0.5   0.0   179   231   582   635   537   636 0.54 | transcript=PVPAM_090010400_t1 | gene=PVPAM_090010400 | organism=Plasmodium_vivax_PAM | gene_product=calcium/calmodulin-dependent protein kinase, putative | transcript_product=calcium/calmodulin-dependent protein kinase, putative | location=CASCJQ010000009:339975-343811(+) | protein_length=1278 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720212.1         -           1622 11010at5820          -            232   3.9e-20   71.0   4.6   1   1     9e-22   1.1e-19   69.6   4.6    11   169  1370  1528  1361  1608 0.90 | transcript=PVPAM_080043400_t1 | gene=PVPAM_080043400 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase ARK2, putative | transcript_product=serine/threonine protein kinase ARK2, putative | location=CASCJQ010000008:1697725-1702833(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719798.1         -            341 11010at5820          -            232   2.9e-18   64.8   0.6   1   1     4e-20   4.7e-18   64.2   0.6     2   166    30   201    28   278 0.77 | transcript=PVPAM_070041200_t1 | gene=PVPAM_070041200 | organism=Plasmodium_vivax_PAM | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=CASCJQ010000007:1475268-1476949(+) | protein_length=341 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 11010at5820          -            232   4.7e-18   64.2   4.9   1   2   5.3e-20   6.3e-18   63.8   2.1    10   144   124   258   116   275 0.86 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722473.1         -           2429 11010at5820          -            232   4.7e-18   64.2   4.9   2   2       1.8   2.2e+02   -0.2   0.1   170   224   326   390   317   401 0.60 | transcript=PVPAM_120071000_t1 | gene=PVPAM_120071000 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase, putative | transcript_product=serine/threonine protein kinase, putative | location=CASCJQ010000012:2710608-2718677(-) | protein_length=2429 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723318.1         -            368 11010at5820          -            232   6.9e-18   63.6   9.4   1   1     1e-19   1.2e-17   62.8   9.3     3   174   106   286   104   310 0.79 | transcript=PVPAM_140023700_t1 | gene=PVPAM_140023700 | organism=Plasmodium_vivax_PAM | gene_product=serine/threonine protein kinase PK9, putative | transcript_product=serine/threonine protein kinase PK9, putative | location=CASCJQ010000014:822225-823331(+) | protein_length=368 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722386.1         -            377 11010at5820          -            232   7.7e-18   63.5  20.3   1   1   6.5e-20   7.7e-18   63.5  20.3     4   195    41   259    38   309 0.69 | transcript=PVPAM_120062200_t1 | gene=PVPAM_120062200 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase, putative | transcript_product=protein kinase, putative | location=CASCJQ010000012:2325953-2328570(-) | protein_length=377 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 11010at5820          -            232   2.9e-17   61.6   7.2   1   2   6.2e-19   7.3e-17   60.3   4.5     8   169   272   430   265   451 0.82 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718956.1         -            613 11010at5820          -            232   2.9e-17   61.6   7.2   2   2      0.63        74    1.4   0.0   199   228   532   563   503   570 0.77 | transcript=PVPAM_050034800_t1 | gene=PVPAM_050034800 | organism=Plasmodium_vivax_PAM | gene_product=cdc2-related protein kinase 1, putative | transcript_product=cdc2-related protein kinase 1, putative | location=CASCJQ010000005:1231892-1233733(-) | protein_length=613 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720179.1         -            494 11010at5820          -            232   3.1e-17   61.5   2.0   1   1   6.4e-19   7.5e-17   60.2   2.0     4   157   118   272   115   291 0.73 | transcript=PVPAM_080040100_t1 | gene=PVPAM_080040100 | organism=Plasmodium_vivax_PAM | gene_product=glycogen synthase kinase 3, putative | transcript_product=glycogen synthase kinase 3, putative | location=CASCJQ010000008:1564136-1566591(+) | protein_length=494 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
