#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   1   8  5.7e-101   9.2e-98  326.9   0.4     1   158     1   158     1   178 0.96 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   2   8   1.2e-21     2e-18   64.5   0.6   154   206   207   260   205   268 0.94 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   3   8   3.8e-30   6.1e-27   92.7   0.2   207   269   325   387   320   398 0.93 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   4   8     6e-86   9.6e-83  277.2  20.9   264   426   466   637   458   649 0.91 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   5   8   4.4e-08   7.1e-05   19.7   0.2   414   442   722   750   715   771 0.89 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   6   8   7.9e-05      0.13    8.9   0.0   434   483   960  1020   954  1027 0.80 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   7   8  5.6e-182  9.1e-179  594.8  17.6   480   771  1108  1407  1102  1412 0.96 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718556.1         -           1484 1791at5820           -            805         0 1395.9  74.9   8   8   2.6e-12   4.2e-09   33.7   0.0   770   804  1441  1475  1436  1476 0.92 | transcript=PVPAM_040030000_t1 | gene=PVPAM_040030000 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD2, putative | transcript_product=DNA repair protein RAD2, putative | location=CASCJQ010000004:1051281-1055735(+) | protein_length=1484 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 1791at5820           -            805   1.3e-32  111.4  19.4   1   4    0.0059       9.5    2.7   0.0     1    41     1    45     1    59 0.79 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 1791at5820           -            805   1.3e-32  111.4  19.4   2   4   1.8e-09   2.9e-06   24.3   0.0    80   135    63   118    46   120 0.89 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718128.1         -            623 1791at5820           -            805   1.3e-32  111.4  19.4   3   4   1.5e-24   2.4e-21   74.2   5.4   495   639   117   274   114   283 0.79 | transcript=PVPAM_030012400_t1 | gene=PVPAM_030012400 | organism=Plasmodium_vivax_PAM | gene_product=flap endonuclease 1, putative | transcript_product=flap endonuclease 1, putative | location=CASCJQ010000003:342440-344311(-) | protein_length=623 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
