#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722809.1         -            257 11045at5820          -            214    5e-118  390.9   8.8   1   1  1.4e-120  6.8e-118  390.4   8.8     1   214     1   238     1   238 0.93 | transcript=PVPAM_130031000_t1 | gene=PVPAM_130031000 | organism=Plasmodium_vivax_PAM | gene_product=CCR4-associated factor 16, putative | transcript_product=CCR4-associated factor 16, putative | location=CASCJQ010000013:1173066-1174701(+) | protein_length=257 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 11045at5820          -            214   1.1e-13   49.8  15.9   1   4       5.6   2.8e+03   -3.7   0.0   186   212    38    66    35    68 0.70 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 11045at5820          -            214   1.1e-13   49.8  15.9   2   4   0.00053      0.26    9.4   0.1    13    52   194   233   180   269 0.68 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 11045at5820          -            214   1.1e-13   49.8  15.9   3   4   8.3e-08   4.1e-05   21.8   0.7   109   199   357   444   335   459 0.82 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720500.1         -            792 11045at5820          -            214   1.1e-13   49.8  15.9   4   4     3e-09   1.5e-06   26.6   2.6    18   191   593   771   578   784 0.69 | transcript=PVPAM_090026500_t1 | gene=PVPAM_090026500 | organism=Plasmodium_vivax_PAM | gene_product=protein GCN20, putative | transcript_product=protein GCN20, putative | location=CASCJQ010000009:973394-975772(+) | protein_length=792 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 11045at5820          -            214   1.3e-12   46.3  11.8   1   5   0.00014      0.07   11.3   0.1    14    98   398   482   380   511 0.75 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 11045at5820          -            214   1.3e-12   46.3  11.8   2   5   9.3e-07   0.00046   18.4   0.2   114   179   578   643   552   660 0.86 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 11045at5820          -            214   1.3e-12   46.3  11.8   3   5         5   2.5e+03   -3.6   0.1   123   175   900   951   889   957 0.71 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 11045at5820          -            214   1.3e-12   46.3  11.8   4   5    0.0053       2.7    6.1   0.0    16    63  1181  1228  1162  1239 0.75 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720905.1         -           1464 11045at5820          -            214   1.3e-12   46.3  11.8   5   5   8.6e-06    0.0043   15.3   0.1   114   177  1355  1418  1334  1431 0.85 | transcript=PVPAM_100017300_t1 | gene=PVPAM_100017300 | organism=Plasmodium_vivax_PAM | gene_product=multidrug resistance protein 1, putative | transcript_product=multidrug resistance protein 1, putative | location=CASCJQ010000010:532711-537105(-) | protein_length=1464 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 11045at5820          -            214     6e-11   40.9   3.8   1   2   1.2e-06   0.00058   18.1   0.4    15   125   615   731   607   746 0.80 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722743.1         -            918 11045at5820          -            214     6e-11   40.9   3.8   2   2   2.9e-08   1.4e-05   23.3   0.2   114   180   815   879   785   901 0.83 | transcript=PVPAM_130024400_t1 | gene=PVPAM_130024400 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter B family member 7, putative | transcript_product=ABC transporter B family member 7, putative | location=CASCJQ010000013:872788-875544(-) | protein_length=918 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 11045at5820          -            214   6.3e-11   40.8  12.7   1   3     0.035        17    3.5   0.1    32    50   122   140   111   146 0.86 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 11045at5820          -            214   6.3e-11   40.8  12.7   2   3   6.5e-06    0.0032   15.7   0.7    97   182   213   300   195   314 0.68 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721175.1         -            619 11045at5820          -            214   6.3e-11   40.8  12.7   3   3   1.2e-08   5.8e-06   24.6   1.9    15   188   372   554   360   567 0.69 | transcript=PVPAM_110007700_t1 | gene=PVPAM_110007700 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter E family member 1, putative | transcript_product=ABC transporter E family member 1, putative | location=CASCJQ010000011:111403-113391(+) | protein_length=619 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 11045at5820          -            214   3.8e-10   38.3  43.5   1   5     4e-05      0.02   13.1   1.4     4    67   178   243   175   345 0.86 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 11045at5820          -            214   3.8e-10   38.3  43.5   2   5    0.0012      0.57    8.3   7.5    94   200   462   567   445   577 0.82 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723421.1         -           1280 11045at5820          -            214   3.8e-10   38.3  43.5   3   5       8.8   4.4e+03   -4.4   1.4    79   133   606   658   594   663 0.47 | transcript=PVPAM_140034300_t1 | gene=PVPAM_140034300 | organism=Plasmodium_vivax_PAM | gene_product=ABC transporter F family member 1, putative | transcript_product=ABC transporter F family member 1, putative | location=CASCJQ010000014:1247997-1251839(+) | protein_length=1280 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
