#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719528.1         -            515 7500at5820           -            277  1.6e-162  538.2  35.8   1   4   2.8e-58   2.3e-55  186.7   3.1     1    93    83   175    83   178 0.99 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 7500at5820           -            277  1.6e-162  538.2  35.8   2   4   8.5e-60   6.9e-57  191.7   7.7    92   195   209   316   198   320 0.93 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 7500at5820           -            277  1.6e-162  538.2  35.8   3   4   1.1e-53   8.8e-51  171.7   8.7   187   277   396   486   389   486 0.96 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 7500at5820           -            277  1.6e-162  538.2  35.8   4   4      0.48   3.9e+02   -1.0   0.0    66    84   486   504   485   509 0.90 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 7500at5820           -            277   2.3e-20   72.0   6.8   1   3   5.8e-21   4.7e-18   64.4   2.5    15   185    16   209     5   219 0.79 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 7500at5820           -            277   2.3e-20   72.0   6.8   2   3    0.0018       1.5    7.0   0.2   103   242   216   248   204   273 0.58 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719321.1         -            301 7500at5820           -            277   2.3e-20   72.0   6.8   3   3     0.048        39    2.3   0.0    43    70   257   283   246   300 0.77 | transcript=PVPAM_060032800_t1 | gene=PVPAM_060032800 | organism=Plasmodium_vivax_PAM | gene_product=ADP,ATP carrier protein 1, putative | transcript_product=ADP,ATP carrier protein 1, putative | location=CASCJQ010000006:1136203-1137108(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 7500at5820           -            277   3.2e-13   48.5   5.0   1   2     0.018        14    3.7   0.0   102   129     6    33     1    71 0.63 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723750.1         -            259 7500at5820           -            277   3.2e-13   48.5   5.0   2   2   4.3e-15   3.4e-12   45.1   2.7    12   163    88   247    74   258 0.84 | transcript=PVPAM_140067300_t1 | gene=PVPAM_140067300 | organism=Plasmodium_vivax_PAM | gene_product=S-adenosylmethionine mitochondrial carrier protein, putative | transcript_product=S-adenosylmethionine mitochondrial carrier protein, putative | location=CASCJQ010000014:2690273-2692045(+) | protein_length=259 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 7500at5820           -            277   6.3e-06   24.6  12.1   1   4   1.7e-05     0.014   13.6   0.0    77   132    13    67     9   197 0.81 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719491.1         -           1119 7500at5820           -            277   6.3e-06   24.6  12.1   2   4       0.2   1.6e+02    0.3   0.2   142   182   666   706   652   712 0.85 | transcript=PVPAM_070010500_t1 | gene=PVPAM_070010500 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:304368-307727(-) | protein_length=1119 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
