#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720017.1         -            406 9842at5820           -            282  4.6e-148  490.6  43.0   1   4   3.5e-45   3.7e-42  143.1   7.0     1    89     1    89     1   103 0.90 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720017.1         -            406 9842at5820           -            282  4.6e-148  490.6  43.0   2   4   2.6e-34   2.8e-31  107.4   5.6    80   173   121   209   115   223 0.75 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720017.1         -            406 9842at5820           -            282  4.6e-148  490.6  43.0   3   4     5e-39   5.4e-36  122.9   3.0   138   225   233   326   217   334 0.87 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720017.1         -            406 9842at5820           -            282  4.6e-148  490.6  43.0   4   4   1.2e-42   1.3e-39  134.8   4.8   215   282   339   406   330   406 0.94 | transcript=PVPAM_080023900_t1 | gene=PVPAM_080023900 | organism=Plasmodium_vivax_PAM | gene_product=DNA repair protein RAD23, putative | transcript_product=DNA repair protein RAD23, putative | location=CASCJQ010000008:855985-857205(+) | protein_length=406 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 9842at5820           -            282   8.2e-27   92.8   9.9   1   4   5.3e-09   5.7e-06   24.4   0.1     1    66     1    67     1    74 0.85 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 9842at5820           -            282   8.2e-27   92.8   9.9   2   4   5.9e-09   6.3e-06   24.3   0.1     1    66    77   143    77   150 0.85 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 9842at5820           -            282   8.2e-27   92.8   9.9   3   4   5.9e-09   6.3e-06   24.3   0.1     1    66   153   219   153   226 0.85 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722763.1         -            305 9842at5820           -            282   8.2e-27   92.8   9.9   4   4   5.3e-09   5.7e-06   24.4   0.1     1    69   229   298   229   303 0.85 | transcript=PVPAM_130026400_t1 | gene=PVPAM_130026400 | organism=Plasmodium_vivax_PAM | gene_product=polyubiquitin, putative | transcript_product=polyubiquitin, putative | location=CASCJQ010000013:975975-977384(+) | protein_length=305 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721198.1         -            128 9842at5820           -            282   1.2e-06   26.7   0.1   1   1   1.3e-09   1.4e-06   26.4   0.1     1    69     1    70     1    76 0.87 | transcript=PVPAM_110010000_t1 | gene=PVPAM_110010000 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin-60S ribosomal protein L40, putative | transcript_product=ubiquitin-60S ribosomal protein L40, putative | location=CASCJQ010000011:198390-199196(+) | protein_length=128 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 9842at5820           -            282   0.00035   18.5   0.1   1   2   3.3e-07   0.00035   18.5   0.1    10    57    12    58     1    92 0.82 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720418.1         -            394 9842at5820           -            282   0.00035   18.5   0.1   2   2       1.7   1.8e+03   -3.5   0.6   154   186   193   225   172   227 0.61 | transcript=PVPAM_090018300_t1 | gene=PVPAM_090018300 | organism=Plasmodium_vivax_PAM | gene_product=ubiquitin domain-containing protein DSK2, putative | transcript_product=ubiquitin domain-containing protein DSK2, putative | location=CASCJQ010000009:661936-663642(-) | protein_length=394 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
