#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   1  11    2e-252  4.2e-249  828.2  54.1     1   422     1   433     1   460 0.97 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   2  11     6e-09   1.3e-05   22.1   0.0   422   460   469   513   466   520 0.85 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   3  11   7.6e-08   0.00016   18.4   0.0   490   529   628   670   575   681 0.70 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   4  11   1.7e-41   3.7e-38  129.8   0.2   533   616   712   795   707   800 0.96 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   5  11   2.1e-19   4.5e-16   56.7   1.0   614   677   848   916   838   921 0.85 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   6  11    0.0036       7.8    3.0   0.0   671   696   949   974   942   986 0.79 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   7  11   1.7e-06    0.0037   14.0   0.1   694   719  1027  1052  1010  1062 0.83 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   8  11   1.1e-42   2.4e-39  133.8   2.5   723   809  1198  1298  1191  1312 0.86 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2   9  11   1.2e-22   2.6e-19   67.4   0.1   815   862  1411  1458  1383  1464 0.90 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2  10  11   4.9e-42   1.1e-38  131.6  11.0   862   978  1486  1632  1481  1634 0.77 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723639.1         -           1762 1450at5820           -           1044         0 1486.0 112.2  11  11   4.7e-34     1e-30  105.2   0.3   977  1044  1684  1754  1681  1754 0.96 | transcript=PVPAM_140056300_t1 | gene=PVPAM_140056300 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain-containing protein, putative | transcript_product=TBC domain-containing protein, putative | location=CASCJQ010000014:2213585-2220886(+) | protein_length=1762 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721069.1         -            738 1450at5820           -           1044   6.7e-05   19.7  12.7   1   1   4.2e-08   9.1e-05   19.3  12.7   140   243   347   449   339   482 0.83 | transcript=PVPAM_100033700_t1 | gene=PVPAM_100033700 | organism=Plasmodium_vivax_PAM | gene_product=GTPase-activating protein, putative | transcript_product=GTPase-activating protein, putative | location=CASCJQ010000010:1235445-1237661(-) | protein_length=738 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722092.1         -            547 1450at5820           -           1044     0.012   12.2  16.2   1   1   8.1e-06     0.017   11.7  16.2   124   271   341   482   297   492 0.79 | transcript=PVPAM_120033000_t1 | gene=PVPAM_120033000 | organism=Plasmodium_vivax_PAM | gene_product=TBC domain containing protein | transcript_product=TBC domain containing protein | location=CASCJQ010000012:1113658-1115301(-) | protein_length=547 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1450at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1450at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1450at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:33:37 2026
# [ok]
