#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721858.1         -            585 5251at5820           -            481  2.5e-301  997.6   2.4   1   1  4.6e-304  4.3e-301  996.8   2.4     6   481    69   583    64   583 0.94 | transcript=PVPAM_120009200_t1 | gene=PVPAM_120009200 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000012:172890-174856(+) | protein_length=585 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 5251at5820           -            481   2.1e-71  239.4   7.3   1   3      0.22     2e+02   -1.3   0.1    35    79    86   134    54   149 0.72 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 5251at5820           -            481   2.1e-71  239.4   7.3   2   3   6.2e-61   5.7e-58  195.1   3.7    96   445   227   583   212   595 0.87 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722964.1         -            677 5251at5820           -            481   2.1e-71  239.4   7.3   3   3   2.5e-15   2.3e-12   44.7   0.0   427   481   622   676   610   676 0.88 | transcript=PVPAM_130047000_t1 | gene=PVPAM_130047000 | organism=Plasmodium_vivax_PAM | gene_product=lysine--tRNA ligase, putative | transcript_product=lysine--tRNA ligase, putative | location=CASCJQ010000013:1841121-1843154(-) | protein_length=677 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717964.1         -            631 5251at5820           -            481   1.7e-18   64.9   3.6   1   1     6e-21   5.6e-18   63.2   3.6   155   477   302   623   293   626 0.72 | transcript=PVPAM_020019600_t1 | gene=PVPAM_020019600 | organism=Plasmodium_vivax_PAM | gene_product=aspartate--tRNA ligase, putative | transcript_product=aspartate--tRNA ligase, putative | location=CASCJQ010000002:607532-609427(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 5251at5820           -            481   8.5e-08   29.6   0.3   1   3      0.26   2.4e+02   -1.6   0.0    58    97   198   237   190   255 0.85 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 5251at5820           -            481   8.5e-08   29.6   0.3   2   3   0.00026      0.24    8.3   0.0   220   291   468   539   461   556 0.86 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721040.1         -            744 5251at5820           -            481   8.5e-08   29.6   0.3   3   3     3e-07   0.00027   18.0   0.0   446   478   705   737   694   739 0.90 | transcript=PVPAM_100030800_t1 | gene=PVPAM_100030800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000010:1119863-1122097(-) | protein_length=744 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 5251at5820           -            481   1.2e-07   29.1   0.3   1   3      0.49   4.6e+02   -2.5   0.0   173   198   218   243   208   254 0.76 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 5251at5820           -            481   1.2e-07   29.1   0.3   2   3   5.5e-06    0.0051   13.9   0.3   205   306   308   411   297   444 0.78 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718494.1         -            584 5251at5820           -            481   1.2e-07   29.1   0.3   3   3   1.7e-05     0.016   12.2   0.0   444   478   543   577   526   579 0.91 | transcript=PVPAM_040023800_t1 | gene=PVPAM_040023800 | organism=Plasmodium_vivax_PAM | gene_product=asparagine--tRNA ligase, putative | transcript_product=asparagine--tRNA ligase, putative | location=CASCJQ010000004:794417-796171(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
