#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717888.1         -           1509 2136at5820           -            816         0 1414.6  65.3   1   7   3.8e-68   1.2e-64  217.4   1.0     2   117     1   116     1   131 0.97 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 2136at5820           -            816         0 1414.6  65.3   2   7   1.2e-52   3.8e-49  166.1   4.0   115   213   187   285   179   305 0.88 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 2136at5820           -            816         0 1414.6  65.3   3   7   3.3e-05      0.11    9.2   0.3   207   239   308   341   296   346 0.86 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 2136at5820           -            816         0 1414.6  65.3   4   7   2.5e-09   8.1e-06   22.9   0.7   244   289   685   732   653   741 0.80 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 2136at5820           -            816         0 1414.6  65.3   5   7   2.5e-05      0.08    9.6   0.0   262   293   816   847   780   852 0.80 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 2136at5820           -            816         0 1414.6  65.3   6   7   6.3e-32     2e-28   97.6   0.4   293   362   910   981   907   984 0.94 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717888.1         -           1509 2136at5820           -            816         0 1414.6  65.3   7   7  1.4e-279  4.6e-276  916.7  23.7   363   816  1038  1509  1033  1509 0.96 | transcript=PVPAM_020012000_t1 | gene=PVPAM_020012000 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol-4-phosphate 5-kinase, putative | transcript_product=phosphatidylinositol-4-phosphate 5-kinase, putative | location=CASCJQ010000002:331549-337141(-) | protein_length=1509 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 2136at5820           -            816   1.4e-05   22.0   3.2   1   2   2.2e-07    0.0007   16.4   0.2    11    96     7    90     2   104 0.81 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722369.1         -            177 2136at5820           -            816   1.4e-05   22.0   3.2   2   2   0.00021      0.67    6.6   0.7    70   138   101   169    93   175 0.73 | transcript=PVPAM_120060500_t1 | gene=PVPAM_120060500 | organism=Plasmodium_vivax_PAM | gene_product=calcineurin subunit B, putative | transcript_product=calcineurin subunit B, putative | location=CASCJQ010000012:2253591-2255022(+) | protein_length=177 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2136at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2136at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2136at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:34:11 2026
# [ok]
