#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719498.1         -           1013 1972at5820           -            810         0 1695.8  70.6   1   2         0         0 1084.1  34.1     1   482     1   496     1   520 0.98 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719498.1         -           1013 1972at5820           -            810         0 1695.8  70.6   2   2  4.1e-188  1.2e-185  617.8  28.5   480   810   530   894   522   894 0.95 | transcript=PVPAM_070011200_t1 | gene=PVPAM_070011200 | organism=Plasmodium_vivax_PAM | gene_product=coatomer subunit beta, putative | transcript_product=coatomer subunit beta, putative | location=CASCJQ010000007:355442-358483(-) | protein_length=1013 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 1972at5820           -            810   1.4e-43  147.9   3.6   1   5   1.1e-25     3e-23   80.6   0.2    12   173     6   165     2   191 0.92 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 1972at5820           -            810   1.4e-43  147.9   3.6   2   5   7.3e-25   2.1e-22   77.9   0.3   182   331   239   389   207   396 0.90 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 1972at5820           -            810   1.4e-43  147.9   3.6   3   5       1.9   5.4e+02   -2.9   0.0   629   664   409   448   389   457 0.75 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 1972at5820           -            810   1.4e-43  147.9   3.6   4   5       2.7   7.4e+02   -3.4   1.0   437   469   597   631   514   718 0.56 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 1972at5820           -            810   1.4e-43  147.9   3.6   5   5     0.028         8    3.2   5.4   581   715   780   921   768   930 0.72 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1972at5820           -            810   1.6e-21   74.9  19.3   1   4   8.4e-12   2.4e-09   34.7   0.4   177   283   109   213    41   227 0.90 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1972at5820           -            810   1.6e-21   74.9  19.3   2   4   6.7e-08   1.9e-05   21.8   1.6   158   244   341   423   332   440 0.83 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1972at5820           -            810   1.6e-21   74.9  19.3   3   4   7.7e-08   2.2e-05   21.6   1.3   185   265   490   568   431   575 0.82 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720745.1         -            660 1972at5820           -            810   1.6e-21   74.9  19.3   4   4    0.0016      0.46    7.3   0.1   178   220   619   659   609   660 0.84 | transcript=PVPAM_090050900_t1 | gene=PVPAM_090050900 | organism=Plasmodium_vivax_PAM | gene_product=ribosome assembly protein 4, putative | transcript_product=ribosome assembly protein 4, putative | location=CASCJQ010000009:2047373-2049355(-) | protein_length=660 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
