#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721426.1         -            533 6412at5820           -            480  1.4e-233  774.5  32.8   1   1  1.1e-235  4.1e-233  772.9  32.8     1   479     1   512     1   513 0.89 | transcript=PVPAM_110033200_t1 | gene=PVPAM_110033200 | organism=Plasmodium_vivax_PAM | gene_product=cleavage stimulation factor subunit 1, putative | transcript_product=cleavage stimulation factor subunit 1, putative | location=CASCJQ010000011:1203603-1205204(-) | protein_length=533 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 6412at5820           -            480   3.8e-13   47.5   8.5   1   3     0.051        19    2.3   3.1   123   243   135   281    75   281 0.57 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 6412at5820           -            480   3.8e-13   47.5   8.5   2   3   2.9e-14   1.1e-11   42.7   3.1   170   345   254   419   238   423 0.81 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720218.1         -            498 6412at5820           -            480   3.8e-13   47.5   8.5   3   3   3.5e-06    0.0013   16.1   0.2   278   382   398   497   395   498 0.83 | transcript=PVPAM_080044000_t1 | gene=PVPAM_080044000 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-processing factor 19, putative | transcript_product=pre-mRNA-processing factor 19, putative | location=CASCJQ010000008:1718924-1720420(-) | protein_length=498 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 6412at5820           -            480   3.8e-13   47.5  12.9   1   5      0.15        56    0.8   0.0   216   245     8    37     3    50 0.87 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 6412at5820           -            480   3.8e-13   47.5  12.9   2   5   1.9e-05    0.0074   13.6   0.0   183   245    63   121    49   129 0.84 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 6412at5820           -            480   3.8e-13   47.5  12.9   3   5   7.8e-05      0.03   11.6   0.1   212   254   130   171   121   185 0.82 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 6412at5820           -            480   3.8e-13   47.5  12.9   4   5     3e-09   1.1e-06   26.2   0.3   168   248   244   323   208   360 0.83 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721564.1         -           1397 6412at5820           -            480   3.8e-13   47.5  12.9   5   5       4.4   1.7e+03   -4.1   1.0   131   170   615   656   606   703 0.59 | transcript=PVPAM_110046900_t1 | gene=PVPAM_110046900 | organism=Plasmodium_vivax_PAM | gene_product=coatomer alpha subunit, putative | transcript_product=coatomer alpha subunit, putative | location=CASCJQ010000011:1740467-1745267(-) | protein_length=1397 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 6412at5820           -            480   9.5e-12   42.9   9.8   1   3   3.5e-08   1.3e-05   22.7   1.4   309   396   351   439   334   449 0.81 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 6412at5820           -            480   9.5e-12   42.9   9.8   2   3   1.8e-11     7e-09   33.5   1.7   181   346   450   601   443   602 0.84 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721028.1         -            637 6412at5820           -            480   9.5e-12   42.9   9.8   3   3   8.2e-05     0.031   11.5   2.7   174   271   527   624   517   630 0.77 | transcript=PVPAM_100029600_t1 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=637 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721029.1         -            646 6412at5820           -            480   1.3e-11   42.5   2.0   1   4       6.6   2.5e+03   -4.6  11.4    90   165    44   118    14   122 0.64 | transcript=PVPAM_100029600_t2 | gene=PVPAM_100029600 | organism=Plasmodium_vivax_PAM | gene_product=WD repeat-containing protein, putative | transcript_product=WD repeat-containing protein, putative | location=CASCJQ010000010:1060740-1064255(-) | protein_length=646 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
