#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   1  18   1.7e-18   3.6e-15   52.7   0.0     1    63     1    70     1    77 0.92 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   2  18   2.8e-65   5.9e-62  207.9  20.3    62   247   101   310    96   320 0.89 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   3  18   3.3e-17     7e-14   48.4   7.8   242   316   346   441   340   445 0.79 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   4  18   1.5e-06    0.0032   13.1   1.5   316   381   481   581   473   587 0.75 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   5  18   9.5e-48   2.1e-44  149.7  37.7   400   553   770   969   766   972 0.82 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   6  18   3.2e-30   6.9e-27   91.6   0.1   546   623  1021  1098  1018  1101 0.94 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   7  18  2.5e-167  5.3e-164  546.4  42.9   616   965  1164  1540  1161  1544 0.92 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   8  18    0.0037       7.9    1.8   0.4   960   987  1628  1655  1621  1660 0.86 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3   9  18     1e-62   2.2e-59  199.4  22.1   977  1099  1696  1818  1688  1824 0.95 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3  10  18     1e-31   2.2e-28   96.5  10.8  1098  1162  1866  1930  1860  1933 0.96 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718977.1         -           4307 338at5820            -           2515         0 3364.2 406.3  11  18  9.6e-165  2.1e-161  537.8  48.3  1159  1550  1973  2415  1966  2425 0.88 | transcript=PVPAM_050036900_t1 | gene=PVPAM_050036900 | organism=Plasmodium_vivax_PAM | gene_product=phosphatidylinositol 4-kinase, putative | transcript_product=phosphatidylinositol 4-kinase, putative | location=CASCJQ010000005:1325012-1339113(+) | protein_length=4307 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
