#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723633.1         -            544 4738at5820           -            464  6.3e-279  923.8  26.3   1   2   5.1e-84   4.1e-81  271.5   0.5     1   136     1   140     1   151 0.95 | transcript=PVPAM_140055700_t1 | gene=PVPAM_140055700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=CASCJQ010000014:2189697-2191558(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723633.1         -            544 4738at5820           -            464  6.3e-279  923.8  26.3   2   2  2.8e-200  2.2e-197  654.9  19.8   127   464   150   532   136   532 0.94 | transcript=PVPAM_140055700_t1 | gene=PVPAM_140055700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=CASCJQ010000014:2189697-2191558(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720221.1         -            540 4738at5820           -            464   3.1e-60  202.7  13.2   1   2   1.1e-29   8.5e-27   92.5   1.8     9   146    10   149     6   160 0.90 | transcript=PVPAM_080044400_t1 | gene=PVPAM_080044400 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=CASCJQ010000008:1728057-1729848(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720221.1         -            540 4738at5820           -            464   3.1e-60  202.7  13.2   2   2   1.4e-36   1.1e-33  115.2   5.0   130   458   157   524   152   528 0.79 | transcript=PVPAM_080044400_t1 | gene=PVPAM_080044400 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=CASCJQ010000008:1728057-1729848(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720099.1         -            535 4738at5820           -            464   6.6e-59  198.3  20.3   1   2   1.2e-30   9.4e-28   95.6   5.1    11   187    16   197     9   201 0.86 | transcript=PVPAM_080032100_t1 | gene=PVPAM_080032100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=CASCJQ010000008:1235751-1237358(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720099.1         -            535 4738at5820           -            464   6.6e-59  198.3  20.3   2   2   4.5e-34   3.6e-31  106.9  10.2   154   459   193   530   166   532 0.82 | transcript=PVPAM_080032100_t1 | gene=PVPAM_080032100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=CASCJQ010000008:1235751-1237358(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 4738at5820           -            464   3.9e-55  185.9  19.3   1   2     1e-32   8.3e-30  102.4   0.8    18   127    17   129     8   144 0.88 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 4738at5820           -            464   3.9e-55  185.9  19.3   2   2   2.4e-28     2e-25   88.0  11.6   153   458   187   526   149   528 0.80 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720607.1         -            543 4738at5820           -            464   7.6e-53  178.4  11.8   1   2   5.2e-34   4.2e-31  106.7   1.1    16   157     8   153     3   161 0.91 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720607.1         -            543 4738at5820           -            464   7.6e-53  178.4  11.8   2   2   2.9e-24   2.3e-21   74.5   3.7   147   457   177   530   160   534 0.72 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720234.1         -            532 4738at5820           -            464   7.3e-45  152.0  13.4   1   1   3.9e-45   3.2e-42  143.3  13.4    10   459     8   523     2   527 0.78 | transcript=PVPAM_080045700_t1 | gene=PVPAM_080045700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=CASCJQ010000008:1782375-1783973(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718470.1         -            544 4738at5820           -            464   1.7e-41  141.0  24.5   1   2   3.8e-16     3e-13   47.8   0.7    22   140    24   142    10   161 0.83 | transcript=PVPAM_040021600_t1 | gene=PVPAM_040021600 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=CASCJQ010000004:707280-709172(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718470.1         -            544 4738at5820           -            464   1.7e-41  141.0  24.5   2   2   7.6e-31   6.1e-28   96.2  19.3   125   458   153   523   123   526 0.75 | transcript=PVPAM_040021600_t1 | gene=PVPAM_040021600 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=CASCJQ010000004:707280-709172(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721544.1         -            543 4738at5820           -            464   1.3e-36  124.8  19.1   1   2     3e-22   2.4e-19   67.9   0.6    22   131    17   130     3   145 0.87 | transcript=PVPAM_110044900_t1 | gene=PVPAM_110044900 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=CASCJQ010000011:1669251-1671098(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721544.1         -            543 4738at5820           -            464   1.3e-36  124.8  19.1   2   2   3.8e-20   3.1e-17   61.0  11.9   155   459   187   534   169   538 0.73 | transcript=PVPAM_110044900_t1 | gene=PVPAM_110044900 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=CASCJQ010000011:1669251-1671098(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4738at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4738at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4738at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:47 2026
# [ok]
