#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719547.1         -            573 4838at5820           -            434  5.5e-236  781.8  14.3   1   3  3.1e-102   2.5e-99  331.5   3.8     1   180    13   199    13   216 0.98 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 4838at5820           -            434  5.5e-236  781.8  14.3   2   3   2.1e-78   1.7e-75  252.9   0.2   179   320   263   409   256   413 0.95 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719547.1         -            573 4838at5820           -            434  5.5e-236  781.8  14.3   3   3   1.6e-63   1.3e-60  203.9   0.2   317   434   452   573   442   573 0.94 | transcript=PVPAM_070016100_t1 | gene=PVPAM_070016100 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000007:570839-572560(+) | protein_length=573 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718142.1         -            414 4838at5820           -            434   1.1e-17   62.4   4.0   1   1   4.6e-20   3.7e-17   60.7   4.0   159   426   143   407   134   414 0.76 | transcript=PVPAM_030013800_t1 | gene=PVPAM_030013800 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000003:396964-399113(-) | protein_length=414 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 4838at5820           -            434   5.6e-15   53.5   0.0   1   2    0.0001      0.08   10.2   0.0   125   234   135   237   115   241 0.78 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722910.1         -            493 4838at5820           -            434   5.6e-15   53.5   0.0   2   2   5.2e-14   4.2e-11   40.8   0.0   317   423   381   488   341   492 0.83 | transcript=PVPAM_130041200_t1 | gene=PVPAM_130041200 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP4, putative | transcript_product=actin-related protein ARP4, putative | location=CASCJQ010000013:1604417-1605898(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 4838at5820           -            434   1.6e-12   45.5   0.0   1   2    0.0053       4.3    4.5   0.0   104   162    76   134    66   225 0.89 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723007.1         -            376 4838at5820           -            434   1.6e-12   45.5   0.0   2   2   1.6e-13   1.3e-10   39.1   0.0   323   425   275   373   268   376 0.84 | transcript=PVPAM_130051300_t1 | gene=PVPAM_130051300 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000013:2033139-2034419(-) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717954.1         -            379 4838at5820           -            434   3.7e-11   41.0   0.6   1   1   1.8e-13   1.5e-10   39.0   0.6   105   425    83   376    65   379 0.83 | transcript=PVPAM_020018600_t1 | gene=PVPAM_020018600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP1, putative | transcript_product=actin-related protein ARP1, putative | location=CASCJQ010000002:565685-568366(+) | protein_length=379 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 4838at5820           -            434   4.8e-11   40.6   0.0   1   2     0.043        35    1.5   0.0   105   161    78   134    67   226 0.87 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723796.1         -            376 4838at5820           -            434   4.8e-11   40.6   0.0   2   2   7.5e-13     6e-10   37.0   0.0   322   425   274   373   267   376 0.82 | transcript=PVPAM_140071900_t1 | gene=PVPAM_140071900 | organism=Plasmodium_vivax_PAM | gene_product=actin II | transcript_product=actin II | location=CASCJQ010000014:2841759-2842889(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720391.1         -            378 4838at5820           -            434   2.9e-09   34.7   0.1   1   1   8.2e-11   6.6e-08   30.2   0.1   321   423   266   369    92   376 0.82 | transcript=PVPAM_090015600_t1 | gene=PVPAM_090015600 | organism=Plasmodium_vivax_PAM | gene_product=actin-like protein, putative | transcript_product=actin-like protein, putative | location=CASCJQ010000009:565217-567061(+) | protein_length=378 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 4838at5820           -            434   4.5e-05   20.9   1.8   1   2      0.97   7.8e+02   -2.9   0.1   181   229   444   488   427   527 0.52 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718196.1         -            855 4838at5820           -            434   4.5e-05   20.9   1.8   2   2   5.6e-08   4.5e-05   20.9   1.8   317   419   753   852   744   854 0.86 | transcript=PVPAM_030019600_t1 | gene=PVPAM_030019600 | organism=Plasmodium_vivax_PAM | gene_product=actin-related protein ARP6, putative | transcript_product=actin-related protein ARP6, putative | location=CASCJQ010000003:637890-640457(+) | protein_length=855 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4838at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/4838at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/4838at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:11 2026
# [ok]
