#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   1   9   1.3e-48   8.6e-45  151.6  14.6     1   112     1   134     1   140 0.84 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   2   9     4e-10   2.6e-06   24.2   0.1   115   143   176   205   172   209 0.88 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   3   9     8e-38   5.2e-34  115.9   0.3   143   218   239   314   230   321 0.94 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   4   9     1e-37   6.7e-34  115.5   0.3   219   297   368   448   363   455 0.93 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   5   9   2.4e-10   1.5e-06   24.9   0.0   297   327   483   513   481   517 0.95 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   6   9   3.7e-83   2.4e-79  266.0  14.9   327   486   543   719   537   723 0.92 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   7   9   7.8e-63   5.1e-59  198.7   0.9   485   620   763   902   759   918 0.96 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   8   9  1.1e-262    7e-259  860.6  44.6   624  1138   985  1508   973  1520 0.96 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719657.1         -           1588 1137at5820           -           1151         0 1744.6 125.6   9   9   5.4e-08   0.00035   17.1   1.9  1119  1151  1555  1588  1539  1588 0.75 | transcript=PVPAM_070027100_t1 | gene=PVPAM_070027100 | organism=Plasmodium_vivax_PAM | gene_product=tetratricopeptide repeat protein, putative | transcript_product=tetratricopeptide repeat protein, putative | location=CASCJQ010000007:971410-976288(+) | protein_length=1588 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1137at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1137at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1137at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:18 2026
# [ok]
