#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   1  11  1.1e-224  6.9e-221  734.8  38.6     2   449    51   532    50   565 0.94 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   2  11     0.017   1.1e+02   -2.6   0.0   453   477   584   611   568   628 0.75 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   3  11         0         0 1537.8 123.2   443  1484   886  2063   879  2068 0.91 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   4  11     6e-48   3.9e-44  148.2  18.4  1487  1631  2122  2279  2075  2284 0.83 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   5  11         0         0 1385.3 118.6  1627  2488  2303  3260  2297  3270 0.92 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   6  11   1.1e-51   7.1e-48  160.6  12.2  2481  2625  3455  3632  3414  3661 0.74 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   7  11   5.8e-60   3.7e-56  188.1  18.9  2609  2768  3737  3901  3726  3904 0.88 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   8  11   6.4e-11   4.1e-07   25.3   0.1  2766  2809  3966  4021  3961  4025 0.85 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8   9  11  1.6e-307    1e-303 1009.7  68.3  2807  3332  4097  4636  4085  4645 0.96 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8  10  11    5e-170  3.3e-166  553.3  42.0  3341  3650  4776  5092  4772  5101 0.97 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720414.1         -           5635 56at5820             -           3908         0 6193.2 539.8  11  11    4e-155  2.6e-151  503.9  29.4  3623  3908  5350  5633  5326  5633 0.94 | transcript=PVPAM_090017900_t1 | gene=PVPAM_090017900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000009:632448-650987(+) | protein_length=5635 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
