#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719295.1         -            663 3835at5820           -            545  2.5e-301  998.3  54.3   1   2  1.4e-178  3.1e-175  582.2  31.2     1   312     1   354     1   360 0.92 | transcript=PVPAM_060030200_t1 | gene=PVPAM_060030200 | organism=Plasmodium_vivax_PAM | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=CASCJQ010000006:1036124-1038115(-) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719295.1         -            663 3835at5820           -            545  2.5e-301  998.3  54.3   2   2    2e-127  4.4e-124  413.3  15.1   307   545   378   658   376   658 0.92 | transcript=PVPAM_060030200_t1 | gene=PVPAM_060030200 | organism=Plasmodium_vivax_PAM | gene_product=Sec1 family protein, putative | transcript_product=Sec1 family protein, putative | location=CASCJQ010000006:1036124-1038115(-) | protein_length=663 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721495.1         -            654 3835at5820           -            545   7.4e-08   29.7   7.0   1   3   1.1e-10   2.4e-07   28.0   0.7    34   259    24   253    12   261 0.77 | transcript=PVPAM_110040000_t1 | gene=PVPAM_110040000 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=CASCJQ010000011:1474325-1476289(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721495.1         -            654 3835at5820           -            545   7.4e-08   29.7   7.0   2   3      0.11   2.4e+02   -1.7   0.4   261   321   301   365   289   407 0.70 | transcript=PVPAM_110040000_t1 | gene=PVPAM_110040000 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=CASCJQ010000011:1474325-1476289(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721495.1         -            654 3835at5820           -            545   7.4e-08   29.7   7.0   3   3    0.0022       4.8    3.9   0.0   495   540   602   647   593   651 0.90 | transcript=PVPAM_110040000_t1 | gene=PVPAM_110040000 | organism=Plasmodium_vivax_PAM | gene_product=syntaxin-binding protein, putative | transcript_product=syntaxin-binding protein, putative | location=CASCJQ010000011:1474325-1476289(+) | protein_length=654 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718446.1         -            715 3835at5820           -            545   1.9e-07   28.3  34.8   1   4     0.033        71    0.1   0.3    20    68    16    63     9    72 0.77 | transcript=PVPAM_040019200_t1 | gene=PVPAM_040019200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=CASCJQ010000004:610690-612837(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718446.1         -            715 3835at5820           -            545   1.9e-07   28.3  34.8   2   4     1e-05     0.022   11.7   2.2    69   150    91   173    82   188 0.88 | transcript=PVPAM_040019200_t1 | gene=PVPAM_040019200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=CASCJQ010000004:610690-612837(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718446.1         -            715 3835at5820           -            545   1.9e-07   28.3  34.8   3   4     0.017        36    1.0   0.1   159   199   276   315   269   332 0.78 | transcript=PVPAM_040019200_t1 | gene=PVPAM_040019200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=CASCJQ010000004:610690-612837(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718446.1         -            715 3835at5820           -            545   1.9e-07   28.3  34.8   4   4   3.1e-10   6.8e-07   26.5  15.2   227   540   378   708   365   712 0.75 | transcript=PVPAM_040019200_t1 | gene=PVPAM_040019200 | organism=Plasmodium_vivax_PAM | gene_product=vacuolar protein sorting-associated protein 45, putative | transcript_product=vacuolar protein sorting-associated protein 45, putative | location=CASCJQ010000004:610690-612837(-) | protein_length=715 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3835at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3835at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3835at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:59 2026
# [ok]
