#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720221.1         -            540 5106at5820           -            489         0 1028.7  15.5   1   1         0         0 1028.5  15.5     1   489     1   527     1   527 0.97 | transcript=PVPAM_080044400_t1 | gene=PVPAM_080044400 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit eta, putative | transcript_product=T-complex protein 1 subunit eta, putative | location=CASCJQ010000008:1728057-1729848(+) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720607.1         -            543 5106at5820           -            489   8.7e-80  267.4   9.8   1   1   3.4e-82   2.4e-79  265.9   9.8    18   487    12   532     1   534 0.86 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723633.1         -            544 5106at5820           -            489   1.2e-74  250.4  15.8   1   1   3.1e-77   2.2e-74  249.6  15.8    17   486    19   526     7   528 0.88 | transcript=PVPAM_140055700_t1 | gene=PVPAM_140055700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit gamma, putative | transcript_product=T-complex protein 1 subunit gamma, putative | location=CASCJQ010000014:2189697-2191558(+) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720099.1         -            535 5106at5820           -            489   4.3e-74  248.6  19.1   1   1   7.9e-77   5.7e-74  248.2  19.1     8   486    11   529     7   532 0.87 | transcript=PVPAM_080032100_t1 | gene=PVPAM_080032100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit epsilon, putative | transcript_product=T-complex protein 1 subunit epsilon, putative | location=CASCJQ010000008:1235751-1237358(-) | protein_length=535 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720234.1         -            532 5106at5820           -            489   3.3e-70  235.8  12.2   1   1     6e-73   4.3e-70  235.4  12.2    10   487     8   523     2   525 0.83 | transcript=PVPAM_080045700_t1 | gene=PVPAM_080045700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=CASCJQ010000008:1782375-1783973(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 5106at5820           -            489   1.7e-61  207.0  17.6   1   1   3.6e-64   2.6e-61  206.5  17.6    24   486    25   526    14   528 0.84 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718470.1         -            544 5106at5820           -            489   2.7e-48  163.5  27.7   1   1   5.5e-51     4e-48  163.0  27.7    18   486    22   523    10   526 0.81 | transcript=PVPAM_040021600_t1 | gene=PVPAM_040021600 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit theta, putative | transcript_product=T-complex protein 1 subunit theta, putative | location=CASCJQ010000004:707280-709172(-) | protein_length=544 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721544.1         -            543 5106at5820           -            489   3.5e-38  130.2  18.5   1   1   8.3e-41     6e-38  129.4  18.5    19   487    16   534     1   536 0.79 | transcript=PVPAM_110044900_t1 | gene=PVPAM_110044900 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit zeta, putative | transcript_product=T-complex protein 1 subunit zeta, putative | location=CASCJQ010000011:1669251-1671098(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720056.1         -            580 5106at5820           -            489   3.6e-14   51.0  11.0   1   2     2e-10   1.4e-07   29.2   2.5    26   216    46   244    32   263 0.75 | transcript=PVPAM_080027800_t1 | gene=PVPAM_080027800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=CASCJQ010000008:1047365-1049376(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720056.1         -            580 5106at5820           -            489   3.6e-14   51.0  11.0   2   2   1.1e-09     8e-07   26.7   1.4   336   483   403   549   357   554 0.84 | transcript=PVPAM_080027800_t1 | gene=PVPAM_080027800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=CASCJQ010000008:1047365-1049376(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5106at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5106at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5106at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:19 2026
# [ok]
