#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723351.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   1   4  9.8e-173  1.3e-169  564.7  21.4     1   289     1   283     1   289 0.94 | transcript=PVPAM_140027000_t1 | gene=PVPAM_140027000 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=CASCJQ010000014:953224-957201(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723351.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   2   4   6.9e-78   8.9e-75  250.7  48.7   246   435   283   480   278   481 0.92 | transcript=PVPAM_140027000_t1 | gene=PVPAM_140027000 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=CASCJQ010000014:953224-957201(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723351.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   3   4  3.4e-112  4.4e-109  364.3  17.4   405   626   477   712   472   721 0.91 | transcript=PVPAM_140027000_t1 | gene=PVPAM_140027000 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=CASCJQ010000014:953224-957201(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723351.1         -           1218 1919at5820           -           1069         0 2019.9 170.4   4   4  1.4e-261  1.8e-258  858.9  62.0   611  1069   720  1213   713  1213 0.95 | transcript=PVPAM_140027000_t1 | gene=PVPAM_140027000 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=CASCJQ010000014:953224-957201(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1919at5820           -           1069   7.4e-31  105.3  36.9   1   5   1.6e-20     2e-17   60.8  25.5     3   333    58   426    56   434 0.71 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1919at5820           -           1069   7.4e-31  105.3  36.9   2   5         5   6.5e+03  -17.3  40.8   181   598   316   747   306   752 0.63 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1919at5820           -           1069   7.4e-31  105.3  36.9   3   5         5   6.5e+03  -12.6  21.4   259   382   806   931   771   937 0.58 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1919at5820           -           1069   7.4e-31  105.3  36.9   4   5         5   6.5e+03  -10.6  30.8   608   768   909  1058   905  1078 0.59 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1919at5820           -           1069   7.4e-31  105.3  36.9   5   5   2.8e-20   3.6e-17   60.0   3.5   858  1030  1226  1400  1181  1416 0.77 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718889.1         -           1193 1919at5820           -           1069   5.8e-25   85.8 172.0   1   2   8.1e-13   1.1e-09   35.2  68.6     1   419     1   431     1   451 0.70 | transcript=PVPAM_050028100_t1 | gene=PVPAM_050028100 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 3, putative | transcript_product=structural maintenance of chromosomes protein 3, putative | location=CASCJQ010000005:959226-966108(-) | protein_length=1193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718889.1         -           1193 1919at5820           -           1069   5.8e-25   85.8 172.0   2   2   1.3e-14   1.6e-11   41.2  95.9   432  1044   490  1174   448  1191 0.73 | transcript=PVPAM_050028100_t1 | gene=PVPAM_050028100 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 3, putative | transcript_product=structural maintenance of chromosomes protein 3, putative | location=CASCJQ010000005:959226-966108(-) | protein_length=1193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
