#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718435.1         -            526 4894at5820           -            462         0 1014.5  39.2   1   1  4.9e-306    5e-304 1006.5  39.2     1   462    38   522    38   522 0.97 | transcript=PVPAM_040018100_t1 | gene=PVPAM_040018100 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=CASCJQ010000004:566628-569175(-) | protein_length=526 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718179.1         -            529 4894at5820           -            462    1e-164  547.2  21.2   1   1  1.2e-166  1.2e-164  546.9  21.2     2   462    54   528    53   528 0.94 | transcript=PVPAM_030017900_t1 | gene=PVPAM_030017900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=CASCJQ010000003:539734-541488(+) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721976.1         -            563 4894at5820           -            462  1.8e-107  358.5  27.2   1   1  2.4e-109  2.5e-107  358.0  27.2    22   458   125   560   110   562 0.88 | transcript=PVPAM_120021400_t1 | gene=PVPAM_120021400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 5, putative | transcript_product=calcium-dependent protein kinase 5, putative | location=CASCJQ010000012:689468-691159(+) | protein_length=563 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720204.1         -            604 4894at5820           -            462   1.3e-91  306.2   8.9   1   1   3.1e-93   3.1e-91  304.9   8.9    23   458   165   601   147   603 0.90 | transcript=PVPAM_080042600_t1 | gene=PVPAM_080042600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=CASCJQ010000008:1669784-1672716(-) | protein_length=604 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 4894at5820           -            462   3.9e-58  195.8  18.5   1   2       2.6   2.7e+02   -1.5   0.3   371   417     9    57     3    65 0.66 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720511.1         -           1622 4894at5820           -            462   3.9e-58  195.8  18.5   2   2   3.8e-60   3.9e-58  195.8  18.5    22   427  1187  1580  1165  1617 0.87 | transcript=PVPAM_090027600_t1 | gene=PVPAM_090027600 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 6, putative | transcript_product=calcium-dependent protein kinase 6, putative | location=CASCJQ010000009:1029730-1035568(+) | protein_length=1622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 4894at5820           -            462   9.6e-52  174.7   4.6   1   3     0.011       1.1    6.4   0.7   369   446    71   148    65   155 0.80 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 4894at5820           -            462   9.6e-52  174.7   4.6   2   3      0.11        11    3.1   2.4   304   388   575   665   558   675 0.71 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720514.1         -           1958 4894at5820           -            462   9.6e-52  174.7   4.6   3   3   9.3e-54   9.6e-52  174.7   4.6     6   277  1491  1770  1488  1783 0.89 | transcript=PVPAM_090027900_t1 | gene=PVPAM_090027900 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase 7, putative | transcript_product=calcium-dependent protein kinase 7, putative | location=CASCJQ010000009:1066933-1072968(+) | protein_length=1958 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723731.1         -            508 4894at5820           -            462   4.4e-49  166.0   4.4   1   1   4.3e-51   4.4e-49  166.0   4.4    22   291   115   389   107   406 0.88 | transcript=PVPAM_140065500_t1 | gene=PVPAM_140065500 | organism=Plasmodium_vivax_PAM | gene_product=protein kinase 2, putative | transcript_product=protein kinase 2, putative | location=CASCJQ010000014:2591167-2592693(-) | protein_length=508 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722902.1         -            284 4894at5820           -            462   1.6e-46  157.5  19.0   1   1   1.9e-48   1.9e-46  157.3  19.0    17   269    20   281     5   284 0.91 | transcript=PVPAM_130040400_t1 | gene=PVPAM_130040400 | organism=Plasmodium_vivax_PAM | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=CASCJQ010000013:1566035-1568262(-) | protein_length=284 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
