#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717927.1         -           1204 2364at5820           -            889         0 1520.8  65.4   1   6  3.8e-182  1.2e-178  594.5  15.6     1   345     1   382     1   387 0.91 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2364at5820           -            889         0 1520.8  65.4   2   6   7.6e-07    0.0024   14.5   0.0   343   366   421   444   419   452 0.90 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2364at5820           -            889         0 1520.8  65.4   3   6   2.7e-18   8.9e-15   52.3   0.1   367   412   475   521   472   532 0.87 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2364at5820           -            889         0 1520.8  65.4   4   6   1.8e-19   5.9e-16   56.2   0.0   407   455   622   670   616   672 0.95 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2364at5820           -            889         0 1520.8  65.4   5   6   4.6e-18   1.5e-14   51.6   0.2   461   511   707   764   689   767 0.87 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717927.1         -           1204 2364at5820           -            889         0 1520.8  65.4   6   6  9.9e-231  3.2e-227  755.3  33.1   510   889   799  1197   793  1197 0.96 | transcript=PVPAM_020015900_t1 | gene=PVPAM_020015900 | organism=Plasmodium_vivax_PAM | gene_product=small ribosomal subunit assembling AARP2 protein | transcript_product=small ribosomal subunit assembling AARP2 protein | location=CASCJQ010000002:458969-462583(-) | protein_length=1204 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722367.1         -           1004 2364at5820           -            889   3.1e-20   70.4  34.2   1   3   1.3e-15   4.3e-12   43.4  15.7     7   299    13   310     7   324 0.67 | transcript=PVPAM_120060300_t1 | gene=PVPAM_120060300 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=CASCJQ010000012:2241252-2244266(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722367.1         -           1004 2364at5820           -            889   3.1e-20   70.4  34.2   2   3    0.0011       3.7    4.0   3.0   505   610   665   774   619   816 0.67 | transcript=PVPAM_120060300_t1 | gene=PVPAM_120060300 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=CASCJQ010000012:2241252-2244266(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722367.1         -           1004 2364at5820           -            889   3.1e-20   70.4  34.2   3   3     1e-12   3.4e-09   33.9   0.9   657   751   882   976   869   980 0.94 | transcript=PVPAM_120060300_t1 | gene=PVPAM_120060300 | organism=Plasmodium_vivax_PAM | gene_product=ribosome biogenesis protein TSR1, putative | transcript_product=ribosome biogenesis protein TSR1, putative | location=CASCJQ010000012:2241252-2244266(+) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2364at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2364at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2364at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:17 2026
# [ok]
