#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721172.1         -            816 3562at5820           -            654         0 1071.5 107.3   1   3  5.2e-134  8.4e-131  436.0  39.7    13   260    51   312    38   317 0.95 | transcript=PVPAM_110007400_t1 | gene=PVPAM_110007400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:101499-103949(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721172.1         -            816 3562at5820           -            654         0 1071.5 107.3   2   3   2.8e-89   4.5e-86  288.2   7.4   254   423   349   519   338   523 0.96 | transcript=PVPAM_110007400_t1 | gene=PVPAM_110007400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:101499-103949(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721172.1         -            816 3562at5820           -            654         0 1071.5 107.3   3   3  1.1e-110  1.8e-107  358.9  44.2   421   654   563   816   561   816 0.90 | transcript=PVPAM_110007400_t1 | gene=PVPAM_110007400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:101499-103949(-) | protein_length=816 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3562at5820           -            654    0.0019   15.2  25.1   1   2   5.4e-06    0.0088   13.0   5.0    91   192   228   326   206   362 0.83 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 3562at5820           -            654    0.0019   15.2  25.1   2   2     0.001       1.7    5.5  16.9    33   245   315   531   314   552 0.78 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718171.1         -            978 3562at5820           -            654     0.039   10.9   0.1   1   2   5.6e-05     0.091    9.6   0.1   387   419   332   364   323   369 0.92 | transcript=PVPAM_030017100_t1 | gene=PVPAM_030017100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:510067-513064(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718171.1         -            978 3562at5820           -            654     0.039   10.9   0.1   2   2       0.6   9.7e+02   -3.7   0.0   331   374   617   662   597   665 0.57 | transcript=PVPAM_030017100_t1 | gene=PVPAM_030017100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000003:510067-513064(+) | protein_length=978 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719285.1         -            512 3562at5820           -            654      0.16    8.9  23.4   1   2   0.00011      0.18    8.6  16.5    19   213    43   242    31   294 0.84 | transcript=PVPAM_060029200_t1 | gene=PVPAM_060029200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=CASCJQ010000006:992367-993905(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719285.1         -            512 3562at5820           -            654      0.16    8.9  23.4   2   2    0.0028       4.5    4.1   0.6   178   208   333   363   293   382 0.77 | transcript=PVPAM_060029200_t1 | gene=PVPAM_060029200 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein HPR1, putative | transcript_product=heptatricopeptide repeat-containing protein HPR1, putative | location=CASCJQ010000006:992367-993905(+) | protein_length=512 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3562at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3562at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3562at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:26 2026
# [ok]
