#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7717791.1         -            582 6577at5820           -            410  7.7e-185  613.1  30.2   1   4  1.2e-105  9.4e-103  342.7   6.9     1   199     1   218     1   226 0.92 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717791.1         -            582 6577at5820           -            410  7.7e-185  613.1  30.2   2   4   5.7e-08   4.6e-05   20.9   0.1   198   229   265   296   260   310 0.84 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717791.1         -            582 6577at5820           -            410  7.7e-185  613.1  30.2   3   4   1.4e-14   1.1e-11   42.8   0.1   223   278   322   396   304   402 0.81 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717791.1         -            582 6577at5820           -            410  7.7e-185  613.1  30.2   4   4   1.8e-65   1.5e-62  210.3   7.1   275   410   435   580   425   580 0.89 | transcript=PVPAM_010030500_t1 | gene=PVPAM_010030500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000001:1138008-1139756(-) | protein_length=582 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720081.1         -            170 6577at5820           -            410   1.2e-19   69.0   0.0   1   1   1.5e-22   1.2e-19   68.9   0.0     6   173     5   167     1   170 0.88 | transcript=PVPAM_080030300_t1 | gene=PVPAM_080030300 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000008:1145010-1145522(+) | protein_length=170 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717776.1         -            262 6577at5820           -            410   1.6e-16   58.7   0.3   1   1   2.5e-19     2e-16   58.4   0.3     7   175    95   261    90   262 0.87 | transcript=PVPAM_010029000_t1 | gene=PVPAM_010029000 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase precursor, putative | transcript_product=peptidyl-prolyl cis-trans isomerase precursor, putative | location=CASCJQ010000001:1062352-1063140(-) | protein_length=262 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723496.1         -            276 6577at5820           -            410   8.2e-16   56.3   0.7   1   1   1.3e-18   1.1e-15   56.0   0.7     4   174    61   222    58   269 0.88 | transcript=PVPAM_140041900_t1 | gene=PVPAM_140041900 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000014:1573079-1573909(+) | protein_length=276 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720440.1         -            193 6577at5820           -            410     1e-12   46.1   0.0   1   1   1.7e-15   1.4e-12   45.7   0.0     7   161    31   176    26   188 0.90 | transcript=PVPAM_090020500_t1 | gene=PVPAM_090020500 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=CASCJQ010000009:743151-744335(-) | protein_length=193 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722667.1         -            226 6577at5820           -            410   1.8e-12   45.3   0.0   1   1   2.8e-15   2.3e-12   45.0   0.0     7   177     8   175     4   218 0.88 | transcript=PVPAM_130016800_t1 | gene=PVPAM_130016800 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000013:546633-548322(-) | protein_length=226 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720848.1         -            203 6577at5820           -            410   3.2e-10   37.9   0.0   1   2       1.8   1.4e+03   -3.8   0.4   281   308    11    38     6    40 0.58 | transcript=PVPAM_100011400_t1 | gene=PVPAM_100011400 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:296194-296805(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720848.1         -            203 6577at5820           -            410   3.2e-10   37.9   0.0   2   2     4e-13   3.2e-10   37.9   0.0    91   162   110   182    53   199 0.88 | transcript=PVPAM_100011400_t1 | gene=PVPAM_100011400 | organism=Plasmodium_vivax_PAM | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=CASCJQ010000010:296194-296805(+) | protein_length=203 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
