#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723793.1         -            309 10037at5820          -            262    5e-130  431.1  30.2   1   2   4.6e-14   3.7e-11   41.5   0.1     1    34     1    34     1    37 0.95 | transcript=PVPAM_140071600_t1 | gene=PVPAM_140071600 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:2831477-2832406(+) | protein_length=309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723793.1         -            309 10037at5820          -            262    5e-130  431.1  30.2   2   2  9.3e-121  7.5e-118  391.2  26.5    32   255    53   288    42   305 0.94 | transcript=PVPAM_140071600_t1 | gene=PVPAM_140071600 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:2831477-2832406(+) | protein_length=309 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720005.1         -            188 10037at5820          -            262     5e-09   34.5   4.0   1   1   7.1e-12   5.7e-09   34.3   4.0    30   135    59   162    18   172 0.76 | transcript=PVPAM_080022700_t1 | gene=PVPAM_080022700 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000008:822474-824204(+) | protein_length=188 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720711.1         -            584 10037at5820          -            262   1.4e-05   23.2   6.2   1   2   1.7e-08   1.4e-05   23.2   6.2    20    99    39   115    25   179 0.77 | transcript=PVPAM_090047600_t1 | gene=PVPAM_090047600 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000009:1926734-1928488(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720711.1         -            584 10037at5820          -            262   1.4e-05   23.2   6.2   2   2      0.48   3.8e+02   -1.2   0.0   210   240   217   247   203   262 0.52 | transcript=PVPAM_090047600_t1 | gene=PVPAM_090047600 | organism=Plasmodium_vivax_PAM | gene_product=methyltransferase, putative | transcript_product=methyltransferase, putative | location=CASCJQ010000009:1926734-1928488(-) | protein_length=584 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 10037at5820          -            262   1.7e-05   22.9  19.8   1   5         8   6.5e+03  -10.9  13.8    61   172   133   246   123   261 0.56 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 10037at5820          -            262   1.7e-05   22.9  19.8   2   5       0.2   1.6e+02    0.1   0.5    87   128  1135  1180  1122  1214 0.74 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 10037at5820          -            262   1.7e-05   22.9  19.8   3   5    0.0044       3.6    5.5   6.1    50   181  1479  1616  1470  1633 0.78 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 10037at5820          -            262   1.7e-05   22.9  19.8   4   5   2.5e-08   2.1e-05   22.7  10.4    34   128  1634  1729  1621  1735 0.78 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721362.1         -           1870 10037at5820          -            262   1.7e-05   22.9  19.8   5   5   3.1e-06    0.0025   15.8   1.9    78   166  1712  1806  1710  1823 0.69 | transcript=PVPAM_110026500_t1 | gene=PVPAM_110026500 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000011:940543-946155(-) | protein_length=1870 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722907.1         -            708 10037at5820          -            262   7.3e-05   20.8   0.1   1   1   1.6e-07   0.00013   20.0   0.1    48   141   420   515   386   604 0.77 | transcript=PVPAM_130040900_t1 | gene=PVPAM_130040900 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000013:1591335-1593461(-) | protein_length=708 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 10037at5820          -            262    0.0002   19.4  18.0   1   2   0.00032      0.26    9.2   2.3    71   141    28   101     5   108 0.67 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723305.1         -            400 10037at5820          -            262    0.0002   19.4  18.0   2   2   3.7e-06     0.003   15.6   8.7    45   171   103   231    98   256 0.81 | transcript=PVPAM_140022400_t1 | gene=PVPAM_140022400 | organism=Plasmodium_vivax_PAM | gene_product=ankyrin-repeat protein, putative | transcript_product=ankyrin-repeat protein, putative | location=CASCJQ010000014:780796-781998(-) | protein_length=400 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 10037at5820          -            262    0.0033   15.4   5.3   1   4     0.033        27    2.6   0.8    83   132    11    63     3    69 0.61 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 10037at5820          -            262    0.0033   15.4   5.3   2   4   6.9e-05     0.056   11.4   0.0    60   134    72   148    67   162 0.86 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 10037at5820          -            262    0.0033   15.4   5.3   3   4     0.044        35    2.2   0.0    40    69   153   182   134   214 0.58 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719292.1         -            482 10037at5820          -            262    0.0033   15.4   5.3   4   4       0.7   5.7e+02   -1.7   0.2    58    73   384   399   328   446 0.60 | transcript=PVPAM_060029900_t1 | gene=PVPAM_060029900 | organism=Plasmodium_vivax_PAM | gene_product=bromodomain protein 1, putative | transcript_product=bromodomain protein 1, putative | location=CASCJQ010000006:1023186-1025027(+) | protein_length=482 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 10037at5820          -            262     0.014   13.4   0.2   1   3   1.7e-05     0.014   13.4   0.2    91   179  1059  1146  1046  1148 0.78 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 10037at5820          -            262     0.014   13.4   0.2   2   3    0.0017       1.4    6.8   2.2    42   127  1185  1271  1158  1284 0.73 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719173.1         -           1897 10037at5820          -            262     0.014   13.4   0.2   3   3         3   2.4e+03   -3.8   1.5    64   104  1392  1438  1343  1456 0.47 | transcript=PVPAM_060018000_t1 | gene=PVPAM_060018000 | organism=Plasmodium_vivax_PAM | gene_product=PHAX domain-containing protein, putative | transcript_product=PHAX domain-containing protein, putative | location=CASCJQ010000006:553870-559563(-) | protein_length=1897 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10037at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10037at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10037at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:24:26 2026
# [ok]
