#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721045.1         -           1449 1309at5820           -           1140         0 2013.5 133.3   1   4   1.3e-57   1.6e-54  183.5   2.6     1    90    54   143    54   145 0.98 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1309at5820           -           1140         0 2013.5 133.3   2   4  1.5e-288    2e-285  948.3  48.6    91   639   171   752   169   758 0.94 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1309at5820           -           1140         0 2013.5 133.3   3   4  5.2e-121  6.8e-118  393.4  46.6   642   902   803  1079   783  1083 0.94 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721045.1         -           1449 1309at5820           -           1140         0 2013.5 133.3   4   4  4.6e-155  5.9e-152  506.2  11.7   901  1140  1181  1418  1163  1418 0.94 | transcript=PVPAM_100031300_t1 | gene=PVPAM_100031300 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 4, putative | transcript_product=structural maintenance of chromosomes protein 4, putative | location=CASCJQ010000010:1138455-1142804(-) | protein_length=1449 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1309at5820           -           1140   5.8e-38  128.7  46.8   1   6   2.7e-22   3.5e-19   66.5  27.8     5   264   230   500   227   502 0.77 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1309at5820           -           1140   5.8e-38  128.7  46.8   2   6         5   6.5e+03  -15.5  39.7   707   995   422   715   403   716 0.63 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1309at5820           -           1140   5.8e-38  128.7  46.8   3   6         5   6.5e+03  -14.8  33.0   655   936   507   797   503   804 0.71 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1309at5820           -           1140   5.8e-38  128.7  46.8   4   6         5   6.5e+03   -9.7  21.4   378   548   680   864   645   874 0.64 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1309at5820           -           1140   5.8e-38  128.7  46.8   5   6         5   6.5e+03  -13.8  44.8   582   886   936  1246   925  1253 0.75 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720591.1         -           1571 1309at5820           -           1140   5.8e-38  128.7  46.8   6   6   9.9e-26   1.3e-22   77.9  11.0   922  1129  1336  1553  1323  1565 0.87 | transcript=PVPAM_090035600_t1 | gene=PVPAM_090035600 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 1, putative | transcript_product=structural maintenance of chromosomes protein 1, putative | location=CASCJQ010000009:1358236-1363078(-) | protein_length=1571 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723351.1         -           1218 1309at5820           -           1140   5.6e-37  125.5 139.6   1   1   5.9e-40   7.7e-37  125.0 139.6     5  1121     3  1172     1  1185 0.71 | transcript=PVPAM_140027000_t1 | gene=PVPAM_140027000 | organism=Plasmodium_vivax_PAM | gene_product=structural maintenance of chromosomes protein 2, putative | transcript_product=structural maintenance of chromosomes protein 2, putative | location=CASCJQ010000014:953224-957201(-) | protein_length=1218 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
