#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722121.1         -            540 6119at5820           -            430  3.6e-250  828.5  23.3   1   2  4.9e-118  3.9e-115  383.6   6.4     1   189    47   239    47   252 0.97 | transcript=PVPAM_120035900_t1 | gene=PVPAM_120035900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=CASCJQ010000012:1228490-1230112(-) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722121.1         -            540 6119at5820           -            430  3.6e-250  828.5  23.3   2   2  1.7e-138  1.4e-135  451.0   8.8   190   427   277   525   261   529 0.95 | transcript=PVPAM_120035900_t1 | gene=PVPAM_120035900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin V | transcript_product=plasmepsin V | location=CASCJQ010000012:1228490-1230112(-) | protein_length=540 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723684.1         -            552 6119at5820           -            430   1.3e-09   35.9   0.7   1   3   1.3e-08   1.1e-05   23.0   0.8    89   186   194   297   144   306 0.78 | transcript=PVPAM_140060800_t1 | gene=PVPAM_140060800 | organism=Plasmodium_vivax_PAM | gene_product=microgamete surface protein MiGS, putative | transcript_product=microgamete surface protein MiGS, putative | location=CASCJQ010000014:2417471-2419815(-) | protein_length=552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723684.1         -            552 6119at5820           -            430   1.3e-09   35.9   0.7   2   3      0.12        94    0.1   0.0   193   260   334   410   327   428 0.67 | transcript=PVPAM_140060800_t1 | gene=PVPAM_140060800 | organism=Plasmodium_vivax_PAM | gene_product=microgamete surface protein MiGS, putative | transcript_product=microgamete surface protein MiGS, putative | location=CASCJQ010000014:2417471-2419815(-) | protein_length=552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723684.1         -            552 6119at5820           -            430   1.3e-09   35.9   0.7   3   3   0.00021      0.17    9.2   0.0   305   378   424   495   389   541 0.68 | transcript=PVPAM_140060800_t1 | gene=PVPAM_140060800 | organism=Plasmodium_vivax_PAM | gene_product=microgamete surface protein MiGS, putative | transcript_product=microgamete surface protein MiGS, putative | location=CASCJQ010000014:2417471-2419815(-) | protein_length=552 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722225.1         -            373 6119at5820           -            430     3e-09   34.7   0.9   1   2   7.9e-11   6.4e-08   30.3   0.1    19   216    53   240    44   246 0.81 | transcript=PVPAM_120046200_t1 | gene=PVPAM_120046200 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=CASCJQ010000012:1662294-1665066(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722225.1         -            373 6119at5820           -            430     3e-09   34.7   0.9   2   2       1.1     9e+02   -3.1   0.1   346   369   347   370   333   372 0.84 | transcript=PVPAM_120046200_t1 | gene=PVPAM_120046200 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VIII, putative | transcript_product=plasmepsin VIII, putative | location=CASCJQ010000012:1662294-1665066(+) | protein_length=373 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720186.1         -            438 6119at5820           -            430   1.1e-07   29.5   0.1   1   1   6.3e-10   5.1e-07   27.4   0.1    16    77   106   168    96   344 0.82 | transcript=PVPAM_080040800_t1 | gene=PVPAM_080040800 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin VI, putative | transcript_product=plasmepsin VI, putative | location=CASCJQ010000008:1583584-1586747(-) | protein_length=438 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723053.1         -            450 6119at5820           -            430   1.6e-07   29.0   4.2   1   3       1.3     1e+03   -3.3   1.0   242   272    53    83    25   114 0.58 | transcript=PVPAM_130055900_t1 | gene=PVPAM_130055900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=CASCJQ010000013:2265818-2267170(-) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723053.1         -            450 6119at5820           -            430   1.6e-07   29.0   4.2   2   3     2e-10   1.6e-07   29.0   4.2    18   246   141   359   129   368 0.75 | transcript=PVPAM_130055900_t1 | gene=PVPAM_130055900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=CASCJQ010000013:2265818-2267170(-) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723053.1         -            450 6119at5820           -            430   1.6e-07   29.0   4.2   3   3      0.51   4.1e+02   -2.0   0.0   343   369   420   446   413   449 0.88 | transcript=PVPAM_130055900_t1 | gene=PVPAM_130055900 | organism=Plasmodium_vivax_PAM | gene_product=plasmepsin IV, putative | transcript_product=plasmepsin IV, putative | location=CASCJQ010000013:2265818-2267170(-) | protein_length=450 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
