#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718743.1         -           1298 1302at5820           -            902         0 1453.3  60.4   1   6   3.6e-15   3.9e-12   43.5   0.1    12    44    68   100    66   102 0.94 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1302at5820           -            902         0 1453.3  60.4   2   6  7.3e-133  7.9e-130  433.0  13.9    44   250   137   343   129   425 0.86 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1302at5820           -            902         0 1453.3  60.4   3   6  2.2e-160  2.4e-157  524.0   0.2   275   592   452   805   445   810 0.87 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1302at5820           -            902         0 1453.3  60.4   4   6   3.8e-54   4.1e-51  172.5   0.2   591   691   870   970   858   974 0.96 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1302at5820           -            902         0 1453.3  60.4   5   6   1.1e-76   1.2e-73  247.1  17.1   690   862  1012  1212  1001  1220 0.82 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718743.1         -           1298 1302at5820           -            902         0 1453.3  60.4   6   6   2.4e-16   2.6e-13   47.4   0.4   859   902  1255  1298  1253  1298 0.96 | transcript=PVPAM_050013700_t1 | gene=PVPAM_050013700 | organism=Plasmodium_vivax_PAM | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=CASCJQ010000005:403672-407568(-) | protein_length=1298 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 1302at5820           -            902   4.7e-15   53.2  19.6   1   3   1.4e-10   1.5e-07   28.4   5.2    23   185    80   258    67   263 0.74 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 1302at5820           -            902   4.7e-15   53.2  19.6   2   3   4.2e-07   0.00045   16.8   0.8   329   430   496   593   475   655 0.61 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722025.1         -           1206 1302at5820           -            902   4.7e-15   53.2  19.6   3   3   6.9e-07   0.00075   16.1   0.5   627   702   720   798   709   859 0.82 | transcript=PVPAM_120026400_t1 | gene=PVPAM_120026400 | organism=Plasmodium_vivax_PAM | gene_product=isoleucine--tRNA ligase, putative | transcript_product=isoleucine--tRNA ligase, putative | location=CASCJQ010000012:849343-852963(+) | protein_length=1206 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1302at5820           -            902   1.4e-13   48.3  13.8   1   4   4.3e-14   4.6e-11   40.0   1.7    13   189    40   235    33   268 0.76 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722264.1         -           1071 1302at5820           -            902   1.4e-13   48.3  13.8   2   4   0.00068      0.74    6.2   0.1   403   433   453   482   432   496 0.82 | transcript=PVPAM_120050100_t1 | gene=PVPAM_120050100 | organism=Plasmodium_vivax_PAM | gene_product=valine--tRNA ligase, putative | transcript_product=valine--tRNA ligase, putative | location=CASCJQ010000012:1840302-1843517(-) | protein_length=1071 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
