#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723448.1         -            606 5840at5820           -            458  1.1e-238  791.1  63.4   1   3   6.5e-70     6e-67  224.9   7.3     1   135     1   140     1   150 0.91 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 5840at5820           -            458  1.1e-238  791.1  63.4   2   3   4.2e-38   3.9e-35  120.0   3.8   138   201   241   304   226   317 0.92 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723448.1         -            606 5840at5820           -            458  1.1e-238  791.1  63.4   3   3    9e-141  8.3e-138  458.5  36.5   198   457   331   601   323   602 0.96 | transcript=PVPAM_140037000_t1 | gene=PVPAM_140037000 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000014:1375465-1377285(+) | protein_length=606 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 5840at5820           -            458   1.3e-13   49.1  15.4   1   3    0.0044       4.1    4.6   0.1   315   356   128   171    90   181 0.82 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 5840at5820           -            458   1.3e-13   49.1  15.4   2   3   1.1e-12   1.1e-09   36.2   2.1   375   454   215   296   194   299 0.88 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719528.1         -            515 5840at5820           -            458   1.3e-13   49.1  15.4   3   3   1.9e-06    0.0018   15.7   2.0   376   454   414   505   391   509 0.72 | transcript=PVPAM_070014200_t1 | gene=PVPAM_070014200 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000007:483301-485037(+) | protein_length=515 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 5840at5820           -            458   5.1e-09   33.9   2.8   1   2   1.1e-06    0.0011   16.4   0.0   365   442    20   101     7   116 0.82 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718785.1         -            318 5840at5820           -            458   5.1e-09   33.9   2.8   2   2   8.6e-06     0.008   13.5   2.2   308   456   167   312   153   313 0.73 | transcript=PVPAM_050017900_t1 | gene=PVPAM_050017900 | organism=Plasmodium_vivax_PAM | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=CASCJQ010000005:586026-586982(-) | protein_length=318 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 5840at5820           -            458     1e-08   32.9   5.8   1   3   0.00021       0.2    8.9   0.0    43    70    25    53     4    57 0.75 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 5840at5820           -            458     1e-08   32.9   5.8   2   3   2.3e-07   0.00022   18.7   2.4   321   450    87   225    74   231 0.76 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717911.1         -            332 5840at5820           -            458     1e-08   32.9   5.8   3   3   1.7e-07   0.00015   19.2   2.0    52   155   158   260   138   313 0.75 | transcript=PVPAM_020014300_t1 | gene=PVPAM_020014300 | organism=Plasmodium_vivax_PAM | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=CASCJQ010000002:391987-394247(+) | protein_length=332 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
