#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719999.1         -            817 4861at5820           -            564    3e-297  985.8  78.5   1   2  2.5e-153  2.7e-150  500.7  18.6     1   248   128   375   128   386 0.98 | transcript=PVPAM_080022100_t1 | gene=PVPAM_080022100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:802942-805593(+) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719999.1         -            817 4861at5820           -            564    3e-297  985.8  78.5   2   2    9e-148  9.7e-145  482.3  51.9   257   564   469   817   451   817 0.90 | transcript=PVPAM_080022100_t1 | gene=PVPAM_080022100 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:802942-805593(+) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4861at5820           -            564   2.4e-14   51.8  36.8   1   3     9e-10   9.6e-07   26.8   3.9    59   181    84   206    73   213 0.90 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4861at5820           -            564   2.4e-14   51.8  36.8   2   3   0.00017      0.19    9.3  11.7    50   214   186   361   182   376 0.79 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723553.1         -            836 4861at5820           -            564   2.4e-14   51.8  36.8   3   3   4.7e-10   5.1e-07   27.7   8.0    60   179   396   514   386   521 0.87 | transcript=PVPAM_140047700_t1 | gene=PVPAM_140047700 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000014:1815230-1817740(+) | protein_length=836 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 4861at5820           -            564     6e-08   30.7   0.9   1   3   5.6e-11     6e-08   30.7   0.9    81   195    64   183    12   228 0.79 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 4861at5820           -            564     6e-08   30.7   0.9   2   3      0.01        11    3.5   0.1    80   158   385   464   377   489 0.67 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719595.1         -            719 4861at5820           -            564     6e-08   30.7   0.9   3   3      0.67   7.2e+02   -2.5   0.4    53   106   540   593   525   633 0.54 | transcript=PVPAM_070020900_t1 | gene=PVPAM_070020900 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000007:732429-734588(-) | protein_length=719 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 4861at5820           -            564   4.6e-07   27.8  16.4   1   2   2.5e-08   2.6e-05   22.0   3.6    89   217   197   326   150   345 0.83 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720184.1         -            631 4861at5820           -            564   4.6e-07   27.8  16.4   2   2   3.8e-05     0.041   11.5   4.9    45   172   377   508   346   541 0.81 | transcript=PVPAM_080040600_t1 | gene=PVPAM_080040600 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000008:1578300-1580195(+) | protein_length=631 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 4861at5820           -            564   1.1e-06   26.5  16.5   1   5       0.1   1.1e+02    0.2   0.0    36    84    84   132    76   139 0.87 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
