#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719227.1         -            485 14061at5820          -            352  1.2e-115  385.1 164.3   1   4  2.2e-102   2.4e-99  331.5  17.2     1   192     1   192     1   207 0.88 | transcript=PVPAM_060023400_t1 | gene=PVPAM_060023400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=CASCJQ010000006:793493-795642(-) | protein_length=485 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719227.1         -            485 14061at5820          -            352  1.2e-115  385.1 164.3   2   4     0.035        37    1.9   2.1   157   184   185   212   181   222 0.73 | transcript=PVPAM_060023400_t1 | gene=PVPAM_060023400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=CASCJQ010000006:793493-795642(-) | protein_length=485 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719227.1         -            485 14061at5820          -            352  1.2e-115  385.1 164.3   3   4   4.6e-07   0.00049   18.0  47.9   166   254   223   333   205   345 0.62 | transcript=PVPAM_060023400_t1 | gene=PVPAM_060023400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=CASCJQ010000006:793493-795642(-) | protein_length=485 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719227.1         -            485 14061at5820          -            352  1.2e-115  385.1 164.3   4   4   1.2e-13   1.3e-10   39.6  92.2   230   352   340   485   327   485 0.79 | transcript=PVPAM_060023400_t1 | gene=PVPAM_060023400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite capping protein 1, putative | transcript_product=merozoite capping protein 1, putative | location=CASCJQ010000006:793493-795642(-) | protein_length=485 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717799.1         -            220 14061at5820          -            352   3.7e-07   28.3   0.4   1   1   4.5e-10   4.8e-07   27.9   0.4    40   119    35   121    31   143 0.87 | transcript=PVPAM_010031300_t1 | gene=PVPAM_010031300 | organism=Plasmodium_vivax_PAM | gene_product=1-cys peroxiredoxin | transcript_product=1-cys peroxiredoxin | location=CASCJQ010000001:1167933-1168595(-) | protein_length=220 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723494.1         -            216 14061at5820          -            352   0.00019   19.3   0.1   1   1   2.3e-07   0.00024   19.0   0.1    17   132    34   154    27   184 0.78 | transcript=PVPAM_140041700_t1 | gene=PVPAM_140041700 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin peroxidase 2, putative | transcript_product=thioredoxin peroxidase 2, putative | location=CASCJQ010000014:1567036-1567686(+) | protein_length=216 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722496.1         -            195 14061at5820          -            352   0.00032   18.6   0.0   1   1   3.5e-07   0.00037   18.4   0.0    38   152    36   158    24   187 0.83 | transcript=PVPAM_120073300_t1 | gene=PVPAM_120073300 | organism=Plasmodium_vivax_PAM | gene_product=thioredoxin peroxidase 1, putative | transcript_product=thioredoxin peroxidase 1, putative | location=CASCJQ010000012:2835022-2835609(-) | protein_length=195 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717726.1         -            282 14061at5820          -            352     0.071   10.9  57.1   1   1   9.2e-05       0.1   10.4  57.1   169   328    50   223    37   245 0.56 | transcript=PVPAM_010024000_t1 | gene=PVPAM_010024000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000001:883024-883872(-) | protein_length=282 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717928.1         -            292 14061at5820          -            352      0.42    8.3  23.8   1   1   0.00053      0.57    7.9  23.8   198   286    61   147    35   168 0.68 | transcript=PVPAM_020016000_t1 | gene=PVPAM_020016000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000002:463722-464600(-) | protein_length=292 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14061at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/14061at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/14061at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:21 2026
# [ok]
