#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719618.1         -            840 3370at5820           -            675         0 1533.2   4.2   1   1         0         0 1533.0   4.2     2   673   166   837   165   839 1.00 | transcript=PVPAM_070023200_t1 | gene=PVPAM_070023200 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000007:816022-818544(-) | protein_length=840 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719256.1         -           1230 3370at5820           -            675  4.3e-218  724.5   2.0   1   1  7.4e-221    6e-218  724.0   2.0    18   656   564  1194   555  1210 0.95 | transcript=PVPAM_060026300_t1 | gene=PVPAM_060026300 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP22, putative | location=CASCJQ010000006:890977-895342(-) | protein_length=1230 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3370at5820           -            675  3.1e-174  579.5  12.3   1   2   1.1e-88   8.6e-86  287.3   1.8    11   295   389   675   381   680 0.95 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723655.1         -           1089 3370at5820           -            675  3.1e-174  579.5  12.3   2   2   8.6e-92   6.9e-89  297.5   3.1   284   655   709  1084   698  1088 0.92 | transcript=PVPAM_140057900_t1 | gene=PVPAM_140057900 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP2, putative | location=CASCJQ010000014:2282895-2286164(-) | protein_length=1089 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 3370at5820           -            675  4.3e-167  555.9  13.0   1   3      0.39   3.1e+02   -2.1   0.0   349   380   346   377   340   390 0.81 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 3370at5820           -            675  4.3e-167  555.9  13.0   2   3   2.6e-80   2.1e-77  259.5   2.3    18   249   425   661   407   671 0.95 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721214.1         -           1127 3370at5820           -            675  4.3e-167  555.9  13.0   3   3   6.3e-93   5.1e-90  301.2   2.9   263   655   745  1122   736  1127 0.94 | transcript=PVPAM_110011600_t1 | gene=PVPAM_110011600 | organism=Plasmodium_vivax_PAM | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=CASCJQ010000011:251214-254597(+) | protein_length=1127 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3370at5820           -            675  2.8e-120  401.2  14.5   1   5   2.2e-08   1.8e-05   21.8   0.1    24    70     3    48     1    54 0.87 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3370at5820           -            675  2.8e-120  401.2  14.5   2   5   1.4e-53   1.2e-50  171.2   0.0    74   232    76   235    62   245 0.94 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3370at5820           -            675  2.8e-120  401.2  14.5   3   5    0.0087         7    3.3   0.0   234   251   274   291   271   310 0.73 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718811.1         -            849 3370at5820           -            675  2.8e-120  401.2  14.5   4   5   1.9e-44   1.6e-41  141.0   0.2   265   486   363   576   354   584 0.96 | transcript=PVPAM_050020500_t1 | gene=PVPAM_050020500 | organism=Plasmodium_vivax_PAM | gene_product=ATP-dependent RNA helicase DHX36, putative | transcript_product=ATP-dependent RNA helicase DHX36, putative | location=CASCJQ010000005:672376-675247(+) | protein_length=849 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
