#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719243.1         -            371 8597at5820           -            287  2.3e-134  445.4   8.7   1   1  2.5e-137  3.3e-134  445.0   8.7     1   280     1   311     1   317 0.91 | transcript=PVPAM_060025000_t1 | gene=PVPAM_060025000 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1m, putative | transcript_product=inner membrane complex protein 1m, putative | location=CASCJQ010000006:843487-844742(-) | protein_length=371 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719932.1         -            286 8597at5820           -            287   9.6e-05   20.1  29.6   1   1   1.5e-07    0.0002   19.0  29.6    24   217    39   237    24   258 0.71 | transcript=PVPAM_080015500_t1 | gene=PVPAM_080015500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1c, putative | transcript_product=inner membrane complex protein 1c, putative | location=CASCJQ010000008:519959-520819(+) | protein_length=286 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 8597at5820           -            287   0.00063   17.4  64.4   1   2   0.00011      0.15    9.6  24.0    40   121   103   186    83   189 0.56 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720262.1         -            530 8597at5820           -            287   0.00063   17.4  64.4   2   2   0.00016      0.21    9.1  33.3    42   171   189   324   186   408 0.77 | transcript=PVPAM_080048500_t1 | gene=PVPAM_080048500 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1e, putative | transcript_product=inner membrane complex protein 1e, putative | location=CASCJQ010000008:1882262-1883854(-) | protein_length=530 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 8597at5820           -            287     0.023   12.3  32.0   1   3   0.00036      0.47    8.0   9.2    24    89    52   127    32   130 0.76 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 8597at5820           -            287     0.023   12.3  32.0   2   3   0.00018      0.23    9.0  12.2    53   110   129   182   125   192 0.79 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718789.1         -            622 8597at5820           -            287     0.023   12.3  32.0   3   3     0.033        43    1.6   0.2    47    67   203   224   185   229 0.75 | transcript=PVPAM_050018300_t1 | gene=PVPAM_050018300 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1i, putative | transcript_product=inner membrane complex protein 1i, putative | location=CASCJQ010000005:595994-597862(+) | protein_length=622 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 8597at5820           -            287      0.23    9.0  39.3   1   2   7.1e-06    0.0092   13.6  26.6    37   121    36   122     5   130 0.79 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720876.1         -            301 8597at5820           -            287      0.23    9.0  39.3   2   2     0.035        46    1.5   3.6    43    80   138   175   127   187 0.88 | transcript=PVPAM_100014400_t1 | gene=PVPAM_100014400 | organism=Plasmodium_vivax_PAM | gene_product=inner membrane complex protein 1g, putative | transcript_product=inner membrane complex protein 1g, putative | location=CASCJQ010000010:410217-411122(-) | protein_length=301 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8597at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/8597at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/8597at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:47:41 2026
# [ok]
