#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   1  12     3e-18     2e-14   51.0   3.3     1    63     1    68     1    72 0.86 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   2  12   1.2e-37   7.6e-34  115.2   0.1    58   151   109   202    98   211 0.94 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   3  12   2.4e-57   1.6e-53  180.4  12.6   137   249   233   346   213   356 0.92 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   4  12   4.2e-32   2.7e-28   96.9   0.3   249   334   412   518   405   521 0.85 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   5  12   3.3e-50   2.1e-46  156.8   3.4   341   460   596   719   576   739 0.89 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   6  12   2.1e-27   1.3e-23   81.3   7.7   453   536   778   860   747   865 0.76 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   7  12   8.2e-10   5.3e-06   23.1   0.1   533   576   943   994   938  1005 0.82 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   8  12   3.3e-74   2.1e-70  236.3  16.7   567   724  1223  1384  1213  1392 0.94 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5   9  12   4.6e-39     3e-35  119.9   0.2   727   825  1457  1557  1451  1565 0.92 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5  10  12   0.00027       1.7    4.8   0.0   829   853  1655  1679  1651  1683 0.90 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719606.1         -           1925 2274at5820           -           1023         0 1255.7 123.5  11  12   2.8e-42   1.8e-38  130.6  10.5   852   950  1715  1814  1713  1825 0.94 | transcript=PVPAM_070022000_t1 | gene=PVPAM_070022000 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000007:771270-777047(+) | protein_length=1925 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
