#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7718243.1         -           1362 3262at5820           -            627  7.9e-267  885.5  69.1   1   7     0.077   1.7e+02   -0.9   3.4     1    41    21    60    21    76 0.79 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718243.1         -           1362 3262at5820           -            627  7.9e-267  885.5  69.1   2   7   1.5e-66   3.2e-63  212.9   7.6     5   140   101   236    96   240 0.93 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718243.1         -           1362 3262at5820           -            627  7.9e-267  885.5  69.1   3   7   2.5e-06    0.0055   13.9   0.4   136   163   284   311   281   343 0.82 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718243.1         -           1362 3262at5820           -            627  7.9e-267  885.5  69.1   4   7   1.1e-48   2.4e-45  153.9   0.4   176   307   662   801   637   808 0.86 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718243.1         -           1362 3262at5820           -            627  7.9e-267  885.5  69.1   5   7   6.5e-89   1.4e-85  286.8   2.8   307   498   872  1075   852  1086 0.85 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718243.1         -           1362 3262at5820           -            627  7.9e-267  885.5  69.1   6   7      0.14   3.1e+02   -1.8   2.2   454   502  1091  1139  1083  1146 0.77 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718243.1         -           1362 3262at5820           -            627  7.9e-267  885.5  69.1   7   7   2.2e-79   4.8e-76  255.3   6.1   501   626  1236  1361  1213  1362 0.96 | transcript=PVPAM_030024300_t1 | gene=PVPAM_030024300 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=CASCJQ010000003:778281-783037(-) | protein_length=1362 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723587.1         -            110 3262at5820           -            627    0.0046   14.2   0.1   1   1   2.4e-06    0.0051   14.0   0.1    67   138    16    91     5   107 0.73 | transcript=PVPAM_140051100_t1 | gene=PVPAM_140051100 | organism=Plasmodium_vivax_PAM | gene_product=splicing factor 3B subunit 6, putative | transcript_product=splicing factor 3B subunit 6, putative | location=CASCJQ010000014:1989748-1990335(-) | protein_length=110 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720595.1         -            156 3262at5820           -            627      0.15    9.2   7.4   1   1   0.00012      0.26    8.4   7.4   345   442     3   108     1   156 0.67 | transcript=PVPAM_090035900_t1 | gene=PVPAM_090035900 | organism=Plasmodium_vivax_PAM | gene_product=RNA-binding protein s1, putative | transcript_product=RNA-binding protein s1, putative | location=CASCJQ010000009:1371439-1371909(-) | protein_length=156 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3262at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3262at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3262at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:13 2026
# [ok]
