#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722747.1         -           1004 5114at5820           -            599  3.4e-235  780.9  85.8   1   6  7.6e-131  4.9e-128  427.0  29.9     1   205     1   210     1   227 0.93 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722747.1         -           1004 5114at5820           -            599  3.4e-235  780.9  85.8   2   6   6.3e-28   4.1e-25   87.1   4.2   197   262   226   295   214   303 0.83 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722747.1         -           1004 5114at5820           -            599  3.4e-235  780.9  85.8   3   6   1.4e-38   9.2e-36  122.2   5.6   264   403   384   549   377   578 0.82 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722747.1         -           1004 5114at5820           -            599  3.4e-235  780.9  85.8   4   6   9.4e-05      0.06   10.5   0.1   420   451   613   644   562   655 0.64 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722747.1         -           1004 5114at5820           -            599  3.4e-235  780.9  85.8   5   6   2.2e-22   1.4e-19   68.8   8.8   442   555   792   927   749   936 0.80 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722747.1         -           1004 5114at5820           -            599  3.4e-235  780.9  85.8   6   6   1.8e-28   1.2e-25   88.9   4.8   534   599   939  1004   917  1004 0.84 | transcript=PVPAM_130024800_t1 | gene=PVPAM_130024800 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000013:898985-901999(-) | protein_length=1004 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 5114at5820           -            599   3.9e-44  149.9  15.7   1   3     6e-47   3.9e-44  149.9  15.7    18   127    17   125     1   132 0.91 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 5114at5820           -            599   3.9e-44  149.9  15.7   2   3       0.4   2.6e+02   -1.4   0.9   340   371   270   300   242   361 0.65 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719982.1         -            514 5114at5820           -            599   3.9e-44  149.9  15.7   3   3      0.57   3.7e+02   -2.0   2.0   533   580   441   488   418   505 0.63 | transcript=PVPAM_080020400_t1 | gene=PVPAM_080020400 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger (CCCH type) protein, putative | transcript_product=zinc finger (CCCH type) protein, putative | location=CASCJQ010000008:727351-728895(+) | protein_length=514 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 5114at5820           -            599   2.1e-30  104.5   4.4   1   4   3.3e-33   2.1e-30  104.5   4.4    20   140     7   126     3   147 0.93 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721271.1         -            965 5114at5820           -            599   2.1e-30  104.5   4.4   2   4        10   6.5e+03  -10.8  20.2   428   514   255   343   172   378 0.55 | transcript=PVPAM_110017300_t1 | gene=PVPAM_110017300 | organism=Plasmodium_vivax_PAM | gene_product=zinc finger protein, putative | transcript_product=zinc finger protein, putative | location=CASCJQ010000011:526903-529800(-) | protein_length=965 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
