#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   1  11  1.8e-106  1.2e-102  343.0  14.6     5   219   109   327    86   340 0.93 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   2  11   3.8e-73   2.5e-69  232.6  17.5   226   384   378   545   367   561 0.92 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   3  11     1e-26   6.5e-23   78.8   3.9   384   456   659   731   653   753 0.85 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   4  11   0.00085       5.5    2.8   3.9   454   482   782   810   775   816 0.73 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   5  11     1e-62   6.8e-59  198.0   8.0   464   621   819  1001   808  1006 0.83 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   6  11   1.8e-32   1.2e-28   97.8   2.2   627   692  1149  1219  1145  1226 0.90 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   7  11   7.8e-55     5e-51  171.9   4.2   692   838  1245  1411  1241  1418 0.83 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   8  11  1.1e-135  7.2e-132  439.9  15.4   837  1123  1444  1770  1437  1775 0.91 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0   9  11  2.2e-124  1.4e-120  402.5  10.7  1121  1322  1832  2039  1827  2046 0.96 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0  10  11   2.2e-56   1.4e-52  177.1   0.3  1317  1435  2076  2197  2052  2205 0.92 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719482.1         -           2349 467at5820            -           1530         0 2241.1 158.0  11  11   6.2e-48     4e-44  149.1   2.9  1435  1529  2254  2348  2249  2349 0.97 | transcript=PVPAM_070009600_t1 | gene=PVPAM_070009600 | organism=Plasmodium_vivax_PAM | gene_product=unspecified product | transcript_product=unspecified product | location=CASCJQ010000007:255913-264544(-) | protein_length=2349 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/467at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
