#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719142.1         -            731 5844at5820           -            412  2.5e-180  598.3  12.7   1   4   2.1e-39   4.6e-36  123.1   0.0     2    85   108   194   107   199 0.94 | transcript=PVPAM_060014900_t1 | gene=PVPAM_060014900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:407400-409595(-) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719142.1         -            731 5844at5820           -            412  2.5e-180  598.3  12.7   2   4   5.5e-61   1.2e-57  194.3   0.3    84   209   230   362   227   365 0.94 | transcript=PVPAM_060014900_t1 | gene=PVPAM_060014900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:407400-409595(-) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719142.1         -            731 5844at5820           -            412  2.5e-180  598.3  12.7   3   4   2.1e-87   4.6e-84  281.2   1.3   218   390   425   599   418   601 0.97 | transcript=PVPAM_060014900_t1 | gene=PVPAM_060014900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:407400-409595(-) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719142.1         -            731 5844at5820           -            412  2.5e-180  598.3  12.7   4   4    0.0012       2.6    5.4   0.0   389   411   643   666   641   667 0.84 | transcript=PVPAM_060014900_t1 | gene=PVPAM_060014900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:407400-409595(-) | protein_length=731 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 5844at5820           -            412     0.047   11.1   1.2   1   2       0.1   2.2e+02   -1.0   0.1   116   145   204   233   198   245 0.83 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719130.1         -            950 5844at5820           -            412     0.047   11.1   1.2   2   2   5.6e-05      0.12    9.7   0.2   122   175   293   347   285   350 0.81 | transcript=PVPAM_060013700_t1 | gene=PVPAM_060013700 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000006:368826-371963(-) | protein_length=950 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 5844at5820           -            412     0.054   10.9  23.8   1   5     0.045        97    0.2   0.0   111   145    93   127    68   137 0.69 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 5844at5820           -            412     0.054   10.9  23.8   2   5   1.6e-05     0.035   11.5   0.5   115   159   188   232   185   243 0.80 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 5844at5820           -            412     0.054   10.9  23.8   3   5   0.00053       1.1    6.5   4.8   108   202   340   445   333   478 0.66 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 5844at5820           -            412     0.054   10.9  23.8   4   5    0.0067        14    2.9   0.2   118   163   549   598   545   624 0.72 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721549.1         -           1215 5844at5820           -            412     0.054   10.9  23.8   5   5     0.084   1.8e+02   -0.7   0.1   119   150   742   773   734   803 0.65 | transcript=PVPAM_110045400_t1 | gene=PVPAM_110045400 | organism=Plasmodium_vivax_PAM | gene_product=heptatricopeptide repeat-containing protein, putative | transcript_product=heptatricopeptide repeat-containing protein, putative | location=CASCJQ010000011:1681633-1685280(-) | protein_length=1215 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5844at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5844at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5844at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:43 2026
# [ok]
