#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720394.1         -            505 5961at5820           -            363  2.7e-195  647.0  17.3   1   3   1.3e-38   1.6e-35  121.4   0.1     1    75     1    76     1    87 0.95 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 5961at5820           -            363  2.7e-195  647.0  17.3   2   3  1.3e-143  1.7e-140  466.8   8.3    73   327   173   433   171   437 0.98 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720394.1         -            505 5961at5820           -            363  2.7e-195  647.0  17.3   3   3   3.1e-21     4e-18   64.1   0.1   327   363   469   505   463   505 0.95 | transcript=PVPAM_090015900_t1 | gene=PVPAM_090015900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | transcript_product=RNA cytosine C(5)-methyltransferase NSUN2, putative | location=CASCJQ010000009:572450-573967(+) | protein_length=505 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 5961at5820           -            363   5.3e-23   80.2   4.7   1   2     4e-08   5.2e-05   21.0   0.6    70   142   248   326   221   352 0.66 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720580.1         -            615 5961at5820           -            363   5.3e-23   80.2   4.7   2   2   2.9e-20   3.7e-17   61.0   0.6   208   314   354   458   329   484 0.82 | transcript=PVPAM_090034500_t1 | gene=PVPAM_090034500 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000009:1319081-1320928(-) | protein_length=615 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 5961at5820           -            363   3.3e-12   44.7  16.4   1   3   2.3e-07   0.00029   18.5   5.3    44   146    62   164    18   180 0.81 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 5961at5820           -            363   3.3e-12   44.7  16.4   2   3     3e-14   3.8e-11   41.2   3.3   179   324   288   438   279   449 0.71 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7717663.1         -           1116 5961at5820           -            363   3.3e-12   44.7  16.4   3   3       2.3   2.9e+03   -4.5   4.9     7   125   809   937   805   945 0.57 | transcript=PVPAM_010017300_t1 | gene=PVPAM_010017300 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000001:584068-587418(-) | protein_length=1116 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723645.1         -            376 5961at5820           -            363   6.1e-09   33.9   0.7   1   2   0.00084       1.1    6.8   0.0   116   145   192   221   104   233 0.90 | transcript=PVPAM_140056900_t1 | gene=PVPAM_140056900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000014:2235558-2236895(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723645.1         -            376 5961at5820           -            363   6.1e-09   33.9   0.7   2   2   1.4e-09   1.7e-06   25.9   0.3   196   337   229   373   221   376 0.82 | transcript=PVPAM_140056900_t1 | gene=PVPAM_140056900 | organism=Plasmodium_vivax_PAM | gene_product=RNA cytosine C(5)-methyltransferase, putative | transcript_product=RNA cytosine C(5)-methyltransferase, putative | location=CASCJQ010000014:2235558-2236895(+) | protein_length=376 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719157.1         -            556 5961at5820           -            363   3.2e-05   21.7   0.2   1   2    0.0035       4.5    4.8   0.0   111   141   183   213   173   244 0.82 | transcript=PVPAM_060016400_t1 | gene=PVPAM_060016400 | organism=Plasmodium_vivax_PAM | gene_product=rRNA (cytosine-C(5))-methyltransferase, putative | transcript_product=rRNA (cytosine-C(5))-methyltransferase, putative | location=CASCJQ010000006:477532-479372(-) | protein_length=556 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
