#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7719283.1         -            317 11664at5820          -            281  9.3e-147  486.3  49.2   1   1  2.1e-149  1.1e-146  486.1  49.2     1   281     1   301     1   301 0.95 | transcript=PVPAM_060029000_t1 | gene=PVPAM_060029000 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000006:984401-985891(-) | protein_length=317 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11664at5820          -            281   6.5e-20   70.1  71.7   1   7   1.8e-08   8.8e-06   23.8  12.7    62   157     7   104     3   110 0.88 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11664at5820          -            281   6.5e-20   70.1  71.7   2   7   1.4e-09   6.9e-07   27.4   6.8    22   126    79   184    79   277 0.88 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11664at5820          -            281   6.5e-20   70.1  71.7   3   7       5.4   2.7e+03   -4.1   0.1    14    38   374   397   362   403 0.49 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11664at5820          -            281   6.5e-20   70.1  71.7   4   7    0.0022       1.1    7.0   0.1    35    93   803   867   776   910 0.64 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11664at5820          -            281   6.5e-20   70.1  71.7   5   7    0.0018       0.9    7.3  13.5    60   168   982  1091   977  1142 0.71 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11664at5820          -            281   6.5e-20   70.1  71.7   6   7   1.3e-07   6.2e-05   21.0   7.0    50   158  1177  1296  1157  1298 0.79 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722825.1         -           1493 11664at5820          -            281   6.5e-20   70.1  71.7   7   7   2.2e-11   1.1e-08   33.3   5.0    12   138  1238  1365  1228  1376 0.60 | transcript=PVPAM_130032700_t1 | gene=PVPAM_130032700 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000013:1261016-1268241(+) | protein_length=1493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722365.1         -            361 11664at5820          -            281   7.2e-16   56.9  34.7   1   1   2.5e-18   1.3e-15   56.1  34.7    23   230    25   242     9   283 0.77 | transcript=PVPAM_120060100_t1 | gene=PVPAM_120060100 | organism=Plasmodium_vivax_PAM | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=CASCJQ010000012:2228762-2229847(-) | protein_length=361 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721881.1         -            250 11664at5820          -            281   4.3e-15   54.3  28.7   1   2   2.5e-17   1.2e-14   52.8  18.6    44   157    10   124     4   137 0.90 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721881.1         -            250 11664at5820          -            281   4.3e-15   54.3  28.7   2   2    0.0026       1.3    6.8   2.9   221   278   140   199   131   202 0.71 | transcript=PVPAM_120011500_t1 | gene=PVPAM_120011500 | organism=Plasmodium_vivax_PAM | gene_product=centrosomal protein CEP72, putative | transcript_product=centrosomal protein CEP72, putative | location=CASCJQ010000012:270052-271785(-) | protein_length=250 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
