#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7722791.1         -            499 6051at5820           -            397  2.3e-241  799.1  30.1   1   2  5.1e-117  4.1e-114  380.1   0.5     1   197    24   236    24   249 0.95 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722791.1         -            499 6051at5820           -            397  2.3e-241  799.1  30.1   2   2  6.2e-130    5e-127  422.6  23.4   177   396   264   498   258   499 0.94 | transcript=PVPAM_130029200_t1 | gene=PVPAM_130029200 | organism=Plasmodium_vivax_PAM | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=CASCJQ010000013:1083619-1085118(-) | protein_length=499 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 6051at5820           -            397   4.2e-14   50.8  17.7   1   4   1.1e-07   8.9e-05   20.1   0.0    68   171   278   380   272   397 0.86 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 6051at5820           -            397   4.2e-14   50.8  17.7   2   4     0.011       9.2    3.6   0.2   196   287   453   540   444   544 0.79 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 6051at5820           -            397   4.2e-14   50.8  17.7   3   4   3.4e-11   2.7e-08   31.7   4.6    50   171   537   669   529   675 0.78 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723516.1         -            859 6051at5820           -            397   4.2e-14   50.8  17.7   4   4     0.013        10    3.5   1.3   231   281   676   730   670   749 0.75 | transcript=PVPAM_140044000_t1 | gene=PVPAM_140044000 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein EngA, putative | transcript_product=GTP-binding protein EngA, putative | location=CASCJQ010000014:1635276-1637855(+) | protein_length=859 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 6051at5820           -            397   7.4e-07   27.0   1.6   1   2    0.0069       5.6    4.3   0.1   218   255   245   285   234   309 0.79 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722908.1         -            518 6051at5820           -            397   7.4e-07   27.0   1.6   2   2   4.3e-08   3.5e-05   21.4   0.1    59   126   314   378   300   388 0.77 | transcript=PVPAM_130041000_t1 | gene=PVPAM_130041000 | organism=Plasmodium_vivax_PAM | gene_product=nucleolar GTP-binding protein 2, putative | transcript_product=nucleolar GTP-binding protein 2, putative | location=CASCJQ010000013:1597635-1599191(+) | protein_length=518 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 6051at5820           -            397   9.8e-05   20.0   6.4   1   2   6.9e-06    0.0056   14.2   0.6   216   283   127   192   121   197 0.87 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722784.1         -            417 6051at5820           -            397   9.8e-05   20.0   6.4   2   2    0.0013       1.1    6.7   0.7    69   111   205   249   194   328 0.65 | transcript=PVPAM_130028500_t1 | gene=PVPAM_130028500 | organism=Plasmodium_vivax_PAM | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=CASCJQ010000013:1048311-1049564(-) | protein_length=417 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720169.1         -            754 6051at5820           -            397   0.00059   17.4   0.0   1   2    0.0013         1    6.7   0.0    66    88    12    34     8    73 0.89 | transcript=PVPAM_080039100_t1 | gene=PVPAM_080039100 | organism=Plasmodium_vivax_PAM | gene_product=Ras-like G protein, putative | transcript_product=Ras-like G protein, putative | location=CASCJQ010000008:1540352-1542616(-) | protein_length=754 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
