#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721307.1         -            661 5442at5820           -            422  3.8e-211  699.9  21.8   1   3   8.7e-65   1.4e-61  207.1   6.3     1   150     1   165     1   177 0.90 | transcript=PVPAM_110021000_t1 | gene=PVPAM_110021000 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=CASCJQ010000011:679511-681496(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721307.1         -            661 5442at5820           -            422  3.8e-211  699.9  21.8   2   3  5.4e-131  8.7e-128  425.3   1.3   144   360   326   544   321   549 0.96 | transcript=PVPAM_110021000_t1 | gene=PVPAM_110021000 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=CASCJQ010000011:679511-681496(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721307.1         -            661 5442at5820           -            422  3.8e-211  699.9  21.8   3   3     2e-25   3.3e-22   77.4   0.6   365   420   580   636   576   638 0.94 | transcript=PVPAM_110021000_t1 | gene=PVPAM_110021000 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-1, putative | transcript_product=metacaspase-1, putative | location=CASCJQ010000011:679511-681496(+) | protein_length=661 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 5442at5820           -            422   6.3e-14   50.1   6.0   1   4      0.91   1.5e+03   -3.8   6.5   120   186   796   864   784   894 0.78 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 5442at5820           -            422   6.3e-14   50.1   6.0   2   4     0.025        40    1.4   2.7   314   387  1163  1238  1158  1251 0.77 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 5442at5820           -            422   6.3e-14   50.1   6.0   3   4   3.9e-17   6.3e-14   50.1   6.0   144   314  1423  1592  1410  1655 0.81 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722501.1         -           1930 5442at5820           -            422   6.3e-14   50.1   6.0   4   4       3.9   6.3e+03   -5.8   6.2    21    96  1790  1868  1782  1922 0.70 | transcript=PVPAM_120073800_t1 | gene=PVPAM_120073800 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-2, putative | transcript_product=metacaspase-2, putative | location=CASCJQ010000012:2856868-2864669(-) | protein_length=1930 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722970.1         -           1917 5442at5820           -            422   3.1e-13   47.9   0.3   1   2   1.8e-05     0.029   11.8   0.0   169   218  1291  1340  1237  1352 0.78 | transcript=PVPAM_130047600_t1 | gene=PVPAM_130047600 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-3, putative | transcript_product=metacaspase-3, putative | location=CASCJQ010000013:1869528-1875281(+) | protein_length=1917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722970.1         -           1917 5442at5820           -            422   3.1e-13   47.9   0.3   2   2   3.8e-12   6.2e-09   33.7   0.1   222   354  1421  1568  1403  1604 0.69 | transcript=PVPAM_130047600_t1 | gene=PVPAM_130047600 | organism=Plasmodium_vivax_PAM | gene_product=metacaspase-3, putative | transcript_product=metacaspase-3, putative | location=CASCJQ010000013:1869528-1875281(+) | protein_length=1917 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721308.1         -            493 5442at5820           -            422   5.5e-07   27.3   7.0   1   1   5.2e-10   8.3e-07   26.7   7.0    14   110    26   128    15   210 0.84 | transcript=PVPAM_110021100_t1 | gene=PVPAM_110021100 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000011:683037-684518(+) | protein_length=493 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
