#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721124.1         -            487 8505at5820           -            437  8.6e-182  603.2  71.5   1   1    2e-183  1.1e-180  599.6  71.5     1   437     1   487     1   487 0.89 | transcript=PVPAM_100039200_t1 | gene=PVPAM_100039200 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 8 | transcript_product=merozoite surface protein 8 | location=CASCJQ010000010:1457174-1458637(+) | protein_length=487 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721427.1         -            479 8505at5820           -            437   1.2e-17   62.2  24.1   1   2     0.017         9    3.4   3.1     2    87     7   102     6   171 0.50 | transcript=PVPAM_110033300_t1 | gene=PVPAM_110033300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=CASCJQ010000011:1207710-1209149(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721427.1         -            479 8505at5820           -            437   1.2e-17   62.2  24.1   2   2   2.2e-20   1.2e-17   62.2  24.1   319   435   359   477   329   479 0.80 | transcript=PVPAM_110033300_t1 | gene=PVPAM_110033300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=CASCJQ010000011:1207710-1209149(+) | protein_length=479 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719749.1         -           1857 8505at5820           -            437   2.4e-14   51.4  12.1   1   2       4.5   2.4e+03   -4.7   2.5    76   142   321   387   293   402 0.42 | transcript=PVPAM_070036300_t1 | gene=PVPAM_070036300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=CASCJQ010000007:1305040-1310613(+) | protein_length=1857 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719749.1         -           1857 8505at5820           -            437   2.4e-14   51.4  12.1   2   2   4.4e-17   2.4e-14   51.4  12.1   330   433  1753  1854  1741  1856 0.89 | transcript=PVPAM_070036300_t1 | gene=PVPAM_070036300 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 paralog | transcript_product=merozoite surface protein 1 paralog | location=CASCJQ010000007:1305040-1310613(+) | protein_length=1857 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 8505at5820           -            437   5.2e-14   50.3   6.1   1   5     0.042        23    2.0   0.5     7    49     7    68     1    85 0.68 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 8505at5820           -            437   5.2e-14   50.3   6.1   2   5       2.9   1.5e+03   -4.0   3.5    29    42   202   215   152   371 0.52 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 8505at5820           -            437   5.2e-14   50.3   6.1   3   5     0.014       7.3    3.7   3.3    43   143   724   892   701   908 0.66 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 8505at5820           -            437   5.2e-14   50.3   6.1   4   5         5   2.7e+03   -4.8  21.3    86   231  1054  1209   970  1227 0.67 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7719750.1         -           1718 8505at5820           -            437   5.2e-14   50.3   6.1   5   5   9.6e-17   5.2e-14   50.3   6.1   328   434  1609  1716  1600  1718 0.89 | transcript=PVPAM_070036400_t1 | gene=PVPAM_070036400 | organism=Plasmodium_vivax_PAM | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=CASCJQ010000007:1313510-1318666(+) | protein_length=1718 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723101.1         -            358 8505at5820           -            437   2.3e-05   21.8  12.7   1   1   8.5e-08   4.6e-05   20.8  12.7   337   435   252   358   235   358 0.80 | transcript=PVPAM_130060700_t1 | gene=PVPAM_130060700 | organism=Plasmodium_vivax_PAM | gene_product=EGF domain-containing protein, putative | transcript_product=EGF domain-containing protein, putative | location=CASCJQ010000013:2449583-2450659(+) | protein_length=358 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721986.1         -            139 8505at5820           -            437   5.2e-05   20.6  19.8   1   1     1e-07   5.4e-05   20.6  19.8     5   100     5   135     1   139 0.79 | transcript=PVPAM_120022500_t1 | gene=PVPAM_120022500 | organism=Plasmodium_vivax_PAM | gene_product=parasitophorous vacuolar protein 3, putative | transcript_product=parasitophorous vacuolar protein 3, putative | location=CASCJQ010000012:735464-735883(+) | protein_length=139 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7723273.1         -            158 8505at5820           -            437       0.4    7.8  16.1   1   1   0.00071      0.38    7.9  16.1    37    94   101   152    38   158 0.51 | transcript=PVPAM_140019200_t1 | gene=PVPAM_140019200 | organism=Plasmodium_vivax_PAM | gene_product=PhIL1-interacting candidate PIC5, putative | transcript_product=PhIL1-interacting candidate PIC5, putative | location=CASCJQ010000014:645115-645591(-) | protein_length=158 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722520.1         -            369 8505at5820           -            437      0.57    7.3  11.7   1   1    0.0017       0.9    6.7  11.7    35    96   273   336   211   357 0.46 | transcript=PVPAM_120075900_t1 | gene=PVPAM_120075900 | organism=Plasmodium_vivax_PAM | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=CASCJQ010000012:2974231-2975447(+) | protein_length=369 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
