#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7721099.1         -            800 3060at5820           -            709         0 1354.9  75.9   1   1         0         0 1353.2  75.9     1   709    10   796    10   796 0.95 | transcript=PVPAM_100036700_t1 | gene=PVPAM_100036700 | organism=Plasmodium_vivax_PAM | gene_product=myosin B, putative | transcript_product=myosin B, putative | location=CASCJQ010000010:1362733-1366496(+) | protein_length=800 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721934.1         -            817 3060at5820           -            709  6.1e-138  459.7  15.3   1   1  1.6e-139  1.7e-136  455.0  15.3    10   706    32   814    26   817 0.82 | transcript=PVPAM_120016800_t1 | gene=PVPAM_120016800 | organism=Plasmodium_vivax_PAM | gene_product=myosin A, putative | transcript_product=myosin A, putative | location=CASCJQ010000012:524285-527026(-) | protein_length=817 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 3060at5820           -            709   4.3e-67  225.6   8.1   1   2   3.3e-40   3.6e-37  126.6   0.0    54   249    50   273    28   284 0.80 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7722063.1         -           1981 3060at5820           -            709   4.3e-67  225.6   8.1   2   2   4.1e-31   4.4e-28   96.6   5.5   261   601   357   743   348   756 0.75 | transcript=PVPAM_120030100_t1 | gene=PVPAM_120030100 | organism=Plasmodium_vivax_PAM | gene_product=myosin F, putative | transcript_product=myosin F, putative | location=CASCJQ010000012:971280-977761(+) | protein_length=1981 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 3060at5820           -            709   2.1e-49  167.0  57.3   1   7   1.5e-11   1.6e-08   31.9   4.9    79   168   108   224    45   235 0.70 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 3060at5820           -            709   2.1e-49  167.0  57.3   2   7   5.6e-23   6.1e-20   69.7   0.2   178   274   340   435   330   444 0.92 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 3060at5820           -            709   2.1e-49  167.0  57.3   3   7    0.0085       9.2    3.0   0.2   285   335   537   595   532   607 0.60 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 3060at5820           -            709   2.1e-49  167.0  57.3   4   7    0.0016       1.7    5.4   0.0   359   389   648   678   621   687 0.77 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 3060at5820           -            709   2.1e-49  167.0  57.3   5   7   8.2e-16   8.8e-13   46.0   6.4   393   497   740   853   734   857 0.85 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 3060at5820           -            709   2.1e-49  167.0  57.3   6   7   8.8e-07   0.00095   16.2   1.5   473   536   850   913   845   918 0.92 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720689.1         -           1711 3060at5820           -            709   2.1e-49  167.0  57.3   7   7   9.7e-08    0.0001   19.3   9.7   546   689  1015  1178  1005  1187 0.70 | transcript=PVPAM_090045400_t1 | gene=PVPAM_090045400 | organism=Plasmodium_vivax_PAM | gene_product=myosin K, putative | transcript_product=myosin K, putative | location=CASCJQ010000009:1812058-1817666(+) | protein_length=1711 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
