#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7720610.1         -           1392 2584at5820           -            782         0 1082.6  86.6   1   7   2.9e-44   9.2e-41  138.4   6.8     7    92    39   137    27   162 0.82 | transcript=PVPAM_090037400_t1 | gene=PVPAM_090037400 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000009:1434751-1438929(+) | protein_length=1392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720610.1         -           1392 2584at5820           -            782         0 1082.6  86.6   2   7   7.7e-26   2.5e-22   77.4   0.6    99   168   267   336   249   344 0.85 | transcript=PVPAM_090037400_t1 | gene=PVPAM_090037400 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000009:1434751-1438929(+) | protein_length=1392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720610.1         -           1392 2584at5820           -            782         0 1082.6  86.6   3   7   9.2e-97     3e-93  311.9   2.8   162   339   446   628   442   633 0.96 | transcript=PVPAM_090037400_t1 | gene=PVPAM_090037400 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000009:1434751-1438929(+) | protein_length=1392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720610.1         -           1392 2584at5820           -            782         0 1082.6  86.6   4   7   3.3e-58   1.1e-54  184.4  22.8   336   478   676   842   664   848 0.85 | transcript=PVPAM_090037400_t1 | gene=PVPAM_090037400 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000009:1434751-1438929(+) | protein_length=1392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720610.1         -           1392 2584at5820           -            782         0 1082.6  86.6   5   7   5.8e-42   1.9e-38  130.7   9.1   483   585   884   988   880   994 0.96 | transcript=PVPAM_090037400_t1 | gene=PVPAM_090037400 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000009:1434751-1438929(+) | protein_length=1392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720610.1         -           1392 2584at5820           -            782         0 1082.6  86.6   6   7   2.5e-29   7.9e-26   89.0   3.7   568   657  1059  1159  1032  1167 0.76 | transcript=PVPAM_090037400_t1 | gene=PVPAM_090037400 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000009:1434751-1438929(+) | protein_length=1392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720610.1         -           1392 2584at5820           -            782         0 1082.6  86.6   7   7   3.9e-56   1.3e-52  177.6   0.0   653   782  1253  1382  1251  1382 0.99 | transcript=PVPAM_090037400_t1 | gene=PVPAM_090037400 | organism=Plasmodium_vivax_PAM | gene_product=amino acid transporter, putative | transcript_product=amino acid transporter, putative | location=CASCJQ010000009:1434751-1438929(+) | protein_length=1392 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718515.1         -           1025 2584at5820           -            782   9.8e-06   22.5   4.4   1   4         2   6.5e+03   -9.6   9.5     8    63    36    90    31   108 0.74 | transcript=PVPAM_040025900_t1 | gene=PVPAM_040025900 | organism=Plasmodium_vivax_PAM | gene_product=transporter, putative | transcript_product=transporter, putative | location=CASCJQ010000004:876172-880422(+) | protein_length=1025 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718515.1         -           1025 2584at5820           -            782   9.8e-06   22.5   4.4   2   4     3e-09   9.8e-06   22.5   4.4   232   350   355   474   345   488 0.74 | transcript=PVPAM_040025900_t1 | gene=PVPAM_040025900 | organism=Plasmodium_vivax_PAM | gene_product=transporter, putative | transcript_product=transporter, putative | location=CASCJQ010000004:876172-880422(+) | protein_length=1025 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718515.1         -           1025 2584at5820           -            782   9.8e-06   22.5   4.4   3   4         2   6.5e+03  -14.8  44.3   357   642   531   832   512   852 0.65 | transcript=PVPAM_040025900_t1 | gene=PVPAM_040025900 | organism=Plasmodium_vivax_PAM | gene_product=transporter, putative | transcript_product=transporter, putative | location=CASCJQ010000004:876172-880422(+) | protein_length=1025 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7718515.1         -           1025 2584at5820           -            782   9.8e-06   22.5   4.4   4   4   1.3e-05     0.042   10.5   6.4   581   644   865   923   823   964 0.77 | transcript=PVPAM_040025900_t1 | gene=PVPAM_040025900 | organism=Plasmodium_vivax_PAM | gene_product=transporter, putative | transcript_product=transporter, putative | location=CASCJQ010000004:876172-880422(+) | protein_length=1025 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
