#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CAI7723660.1         -            710 3909at5820           -            605         0 1323.5  47.5   1   1         0         0 1323.0  47.5     1   601    39   648    39   651 0.99 | transcript=PVPAM_140058400_t1 | gene=PVPAM_140058400 | organism=Plasmodium_vivax_PAM | gene_product=60 kDa chaperonin, putative | transcript_product=60 kDa chaperonin, putative | location=CASCJQ010000014:2315160-2317685(-) | protein_length=710 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720056.1         -            580 3909at5820           -            605  4.2e-107  357.6  25.7   1   1  6.1e-108  7.9e-105  350.1  25.7    31   588    31   559    16   574 0.95 | transcript=PVPAM_080027800_t1 | gene=PVPAM_080027800 | organism=Plasmodium_vivax_PAM | gene_product=heat shock protein 60, putative | transcript_product=heat shock protein 60, putative | location=CASCJQ010000008:1047365-1049376(-) | protein_length=580 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720607.1         -            543 3909at5820           -            605   1.3e-12   45.5   6.6   1   2     2e-13   2.6e-10   37.9   2.6    38   179    12   152     4   184 0.83 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720607.1         -            543 3909at5820           -            605   1.3e-12   45.5   6.6   2   2   9.2e-05      0.12    9.3   0.1   417   566   372   516   342   537 0.83 | transcript=PVPAM_090037100_t1 | gene=PVPAM_090037100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit alpha, putative | transcript_product=T-complex protein 1 subunit alpha, putative | location=CASCJQ010000009:1421873-1423746(-) | protein_length=543 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 3909at5820           -            605   9.8e-11   39.3  20.8   1   3   8.4e-12   1.1e-08   32.6   9.1    48   215    29   197     8   233 0.83 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 3909at5820           -            605   9.8e-11   39.3  20.8   2   3    0.0046         6    3.7   0.5    66   185   254   376   242   387 0.77 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7721279.1         -            529 3909at5820           -            605   9.8e-11   39.3  20.8   3   3   4.5e-05     0.059   10.3   0.1   501   577   444   522   430   528 0.84 | transcript=PVPAM_110018100_t1 | gene=PVPAM_110018100 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1, delta subunit, putative | transcript_product=T-complex protein 1, delta subunit, putative | location=CASCJQ010000011:558026-560321(-) | protein_length=529 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720234.1         -            532 3909at5820           -            605   1.6e-10   38.6   4.5   1   2   1.7e-09   2.2e-06   24.9   0.7    39   178    19   165    10   243 0.75 | transcript=PVPAM_080045700_t1 | gene=PVPAM_080045700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=CASCJQ010000008:1782375-1783973(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
CAI7720234.1         -            532 3909at5820           -            605   1.6e-10   38.6   4.5   2   2   1.4e-06    0.0018   15.4   0.2   484   587   422   528   414   532 0.79 | transcript=PVPAM_080045700_t1 | gene=PVPAM_080045700 | organism=Plasmodium_vivax_PAM | gene_product=T-complex protein 1 subunit beta, putative | transcript_product=T-complex protein 1 subunit beta, putative | location=CASCJQ010000008:1782375-1783973(+) | protein_length=532 | sequence_SO=supercontig | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3909at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/PAM_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3909at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3909at5820.hmm /v3/inputs/annotations/plasmodb-68/PAM.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:17 2026
# [ok]
